Player,Club,Age,Position,Nation,Value
Leny Yoro,LOSC Lille,17,Defender,France,10.00m
Alexsandro,LOSC Lille,23,Defender,Brazil,5.00m
José Fonte,LOSC Lille,39,Defender,Portugal,600k
Gabriel Gudmundsson,LOSC Lille,24,Defender,Sweden,4.50m
Ismaily,LOSC Lille,33,Defender,Brazil,2.50m
Bafodé Diakité,LOSC Lille,22,Defender,France,10.00m
Benjamin André,LOSC Lille,32,midfield,France,9.00m
Jonas Martin,LOSC Lille,33,midfield,France,1.50m
André Gomes,LOSC Lille,29,midfield,Portugal,16.00m
Carlos Baleba,LOSC Lille,19,midfield,Cameroon,5.00m
Angel Gomes,LOSC Lille,22,midfield,England,16.00m
Rémy Cabella,LOSC Lille,33,midfield,France,5.00m
Jonathan Bamba,LOSC Lille,27,Attack,Cote d'Ivoire,20.00m
Alan Virginius,LOSC Lille,20,Attack,France,4.00m
Timothy Weah,LOSC Lille,23,Attack,United States,14.00m
Edon Zhegrova,LOSC Lille,24,Attack,Kosovo,8.00m
Adam Ounas,LOSC Lille,26,Attack,Algeria,7.00m
Jonathan David,LOSC Lille,23,Attack,Canada,60.00m
Mohamed Bayo,LOSC Lille,25,Attack,Guinea,6.00m
Kasper Schmeichel,OGC Nice,36,Goalkeeper,Denmark,2.00m
Marcin Bulka,OGC Nice,23,Goalkeeper,Poland,2.00m
Teddy Boulhendi,OGC Nice,22,Goalkeeper,Algeria,150k
Jean-Clair Todibo,OGC Nice,23,Defender,France,30.00m
Youssouf Ndayishimiye,OGC Nice,24,Defender,Burundi,12.00m
Mattia Viti,OGC Nice,21,Defender,Italy,7.00m
Dante,OGC Nice,39,Defender,Brazil,600k
Melvin Bard,OGC Nice,22,Defender,France,7.00m
Ayoub Amraoui,OGC Nice,19,Defender,Morocco,2.50m
Joe Bryan,OGC Nice,29,Defender,England,2.20m
Jordan Lotomba,OGC Nice,24,Defender,Switzerland,8.00m
Youcef Atal,OGC Nice,27,Defender,Algeria,7.00m
Antoine Mendy,OGC Nice,19,Defender,France,1.00m
Pablo Rosario,OGC Nice,26,midfield,Netherlands,6.00m
Alexis Beka Beka,OGC Nice,22,midfield,France,4.50m
Reda Belahyane,OGC Nice,19,midfield,France,300k
