Players,Values
Stéphane Diarra,€1.50m 
Dango Ouattara,€900k 
Terem Moffi,€9.00m 
Ibrahima Koné,€4.50m 
Adrian Grbic,€2.50m 
Pierre-Yves Hamel,€1.20m 
Sambou Soumano,€1.20m 
Pablo Pagis,€200k 
Maxime Dupé,€1.20m 
Isak Pettersson,€700k 
Thomas Himeur,€150k 
Anthony Rouault,€4.00m 
Rasmus Nicolaisen,€1.80m 
Ruben Gabrielsen,€600k 
Logan Costa,€400k 
Issiaga Sylla,€1.80m 
Moussa Diarra,€600k 
Tom Rapnouil,€250k 
Bafodé Diakité,€3.00m 
Mikkel Desler,€1.80m 
Stijn Spierings,€2.00m 
Branco van den Boomen,€6.00m 
Brecht Dejaegere,€1.80m 
Sam Sanna,€400k 
Kléri Serber,€250k 
Mamady Bangré,€300k 
Denis Genreau,€1.20m 
Naatan Skyttä,€500k 
Steve Mvoué,€300k 
Amine Adli,€12.00m 
Rafael Ratão,€1.80m 
Junior Flemmings,€400k 
Farès Chaïbi,€50k 
Nathan Ngoumou,€2.50m 
Janis Antiste,€4.00m 
Rhys Healey,€3.00m 
Ado Onaiwu,€1.50m 
Yanis Begraoui,€600k 
Stéphane Zobo,€150k 
Marco Bizot,€4.50m 
Gautier Larsonneur,€3.00m 
Sébastien Cibois,€400k 
Grégoire Coudert,€200k 
Brendan Chardonnet,€5.00m 
Lilian Brassier,€4.00m 
Christophe Hérelle,€4.00m 
Denys Bain,€1.00m 
Noé Sow,€150k 
Jean-Kévin Duverne,€4.00m 
Jere Uronen,€2.00m 
Ronaël Pierre-Gabriel,€5.00m 
Julien Faussurier,€300k 
Lucien Agoumé,€7.00m 
Paul Lasne,€500k 
Haris Belkebla,€4.00m 
Hugo Magnetti,€2.00m 
Hianga'a Mbock,€1.50m 
Romain Faivre,€15.00m 
Romain Del Castillo,€3.00m 
Romain Philippoteaux,€500k 
Axel Camblan,€100k 
Jérémy Le Douaron,€3.00m 
Youcef Belaïli,€2.00m 
Rafiki Saïd,€500k 
Franck Honorat,€10.00m 
Martín Satriano,€7.00m 
Steve Mounié,€7.00m 
Irvin Cardona,€4.50m 
Youssouph Badji,€2.00m 
Ouparine Djoco,€1.80m 
Arthur Desmas,€1.20m 
Lucas Margueron,€150k 
Cédric Hountondji,€3.00m 
Alidu Seidu,€2.00m 
Jean-Claude Billong,€1.00m 
Florent Ogier,€700k 
Josué Albert,€300k 
