Player,Club,Age,Position,Nation,Value
Federico Chiesa,Juventus FC,25,Attack,Italy,40000000.0
Rúben Neves,Wolverhampton Wanderers,26,midfield,Portugal,40000000.0
Andrew Robertson,Liverpool FC,29,Defender,Scotland,40000000.0
Douglas Luiz,Aston Villa,25,midfield,Brazil,40000000.0
Benoît Badiashile,Chelsea FC,22,Defender,France,40000000.0
Romelu Lukaku,Inter Milan,30,Attack,Belgium,40000000.0
Pedro Porro,Tottenham Hotspur,23,Defender,Spain,40000000.0
Eberechi Eze,Crystal Palace,24,midfield,England,40000000.0
João Palhinha,Fulham FC,27,midfield,Portugal,40000000.0
Fikayo Tomori,AC Milan,25,Defender,England,40000000.0
John Stones,Manchester City,29,Defender,England,40000000.0
Ederson,Manchester City,29,Goalkeeper,Brazil,40000000.0
David Alaba,Real Madrid,31,Defender,Austria,40000000.0
Diogo Dalot,Manchester United,24,Defender,Portugal,40000000.0
Bremer,Juventus FC,26,Defender,Brazil,40000000.0
Tammy Abraham,AS Roma,25,Attack,England,40000000.0
Frank Anguissa,SSC Napoli,27,midfield,Cameroon,40000000.0
Mikel Oyarzabal,Real Sociedad,26,Attack,Spain,40000000.0
Andreas Christensen,FC Barcelona,27,Defender,Denmark,40000000.0
Martín Zubimendi,Real Sociedad,24,midfield,Spain,40000000.0
Morgan Gibbs-White,Nottingham Forest,23,midfield,England,40000000.0
Rodrigo Bentancur,Tottenham Hotspur,26,midfield,Uruguay,40000000.0
Aaron Ramsdale,Arsenal FC,25,Goalkeeper,England,40000000.0
Brennan Johnson,Nottingham Forest,22,midfield,Wales,38000000.0
James Ward-Prowse,Southampton FC,28,midfield,England,38000000.0
Joe Willock,Newcastle United,23,midfield,England,38000000.0
Mateo Kovacic,Chelsea FC,29,midfield,Croatia,38000000.0
Ibrahima Konaté,Liverpool FC,24,Defender,France,38000000.0
Jarrod Bowen,West Ham United,26,Attack,England,38000000.0
Michael Olise,Crystal Palace,21,Attack,France,38000000.0
Manuel Akanji,Manchester City,27,Defender,Switzerland,38000000.0
Niklas Süle,Borussia Dortmund,27,Defender,Germany,35000000.0
Gregor Kobel,Borussia Dortmund,25,Goalkeeper,Switzerland,35000000.0
Nayef Aguerd,West Ham United,27,Defender,Morocco,35000000.0
Piero Hincapié,Bayer 04 Leverkusen,21,Defender,Ecuador,35000000.0
Anthony Gordon,Newcastle United,22,Attack,England,35000000.0
André Onana,Inter Milan,27,Goalkeeper,Cameroon,35000000.0
Ivan Toney,Brentford FC,27,Attack,England,35000000.0
Jan Oblak,Atlético de Madrid,30,Goalkeeper,Slovenia,35000000.0
Piotr Zielinski,SSC Napoli,29,midfield,Poland,35000000.0
Giacomo Raspadori,SSC Napoli,23,Attack,Italy,35000000.0
Bryan Mbeumo,Brentford FC,23,Attack,Cameroon,35000000.0
Federico Dimarco,Inter Milan,25,Defender,Italy,35000000.0
Ansu Fati,FC Barcelona,20,Attack,Spain,35000000.0
Marc-André ter Stegen,FC Barcelona,31,Goalkeeper,Germany,35000000.0
Cheick Doucouré,Crystal Palace,23,midfield,Mali,35000000.0
Marc Guéhi,Crystal Palace,22,Defender,England,35000000.0
Nahuel Molina,Atlético de Madrid,25,Defender,Argentina,35000000.0
Thomas Partey,Arsenal FC,30,midfield,Ghana,35000000.0
Emile Smith Rowe,Arsenal FC,22,midfield,England,35000000.0
Tomas Soucek,West Ham United,28,midfield,Czech Republic,35000000.0
Harvey Elliott,Liverpool FC,20,midfield,England,35000000.0
Virgil van Dijk,Liverpool FC,31,Defender,Netherlands,35000000.0
Nicolò Fagioli,Juventus FC,22,midfield,Italy,35000000.0
Robin Le Normand,Real Sociedad,26,Defender,Spain,35000000.0
Marc Cucurella,Chelsea FC,24,Defender,Spain,35000000.0
Ben Chilwell,Chelsea FC,26,Defender,England,35000000.0
Raphaël Varane,Manchester United,30,Defender,France,35000000.0
Marcos Llorente,Atlético de Madrid,28,midfield,Spain,35000000.0
Leandro Trossard,Arsenal FC,28,Attack,Belgium,35000000.0
Harvey Barnes,Leicester City,25,Attack,England,35000000.0
Lorenzo Pellegrini,AS Roma,27,midfield,Italy,35000000.0
Alisson,Liverpool FC,30,Goalkeeper,Brazil,35000000.0
José María Giménez,Atlético de Madrid,28,Defender,Uruguay,35000000.0
Marcus Thuram,Borussia Mönchengladbach,25,Attack,France,32000000.0
Roméo Lavia,Southampton FC,19,midfield,Belgium,32000000.0
Allan Saint-Maximin,Newcastle United,26,Attack,France,32000000.0
Kalvin Phillips,Manchester City,27,midfield,England,32000000.0
Antonio Rüdiger,Real Madrid,30,Defender,Germany,32000000.0
Conor Gallagher,Chelsea FC,23,midfield,England,32000000.0
Miguel Almirón,Newcastle United,29,Attack,Paraguay,32000000.0
Max Kilman,Wolverhampton Wanderers,26,Defender,England,30000000.0
