Players,Values
Lucas Robertone,€4.00m 
Arnau Puigmal,€1.50m 
César de la Hoz,€1.00m 
Mamadou Sylla,€150k 
Javi Robles,€100k 
Largie Ramazani,€4.00m 
José Carlos Lazo,€2.50m 
Francisco Portillo,€2.00m 
Curro Sánchez,€800k 
Arvin Appiah,€600k 
Juan Villar,€300k 
Carlos Rojas,€100k 
Umar Sadiq,€18.00m 
Dyego Sousa,€1.00m 
Carlos Gilbert,€150k 
Juan Carlos,€300k 
Adrián Ortolá,€300k 
Santiago Bueno,€2.00m 
Bernardo Espinosa,€1.50m 
Juanpe,€1.50m 
Jairo Izquierdo,€800k 
David Juncà,€500k 
Arnau Martínez,€5.00m 
Jordi Calavera,€500k 
Gerard Gumbau,€3.00m 
Ramón Terrats,€1.00m 
Ibrahima Kébé,€600k 
Aleix García,€2.50m 
Pol Lozano,€1.50m 
Víctor Sánchez,€400k 
Álex Sala,€50k 
Álex Baena,€3.00m 
Borja García,€1.50m 
Samu Saiz,€1.00m 
Iván Martín,€800k 
Ricard Artero,€200k 
Arnau Ortiz,€100k 
Darío Sarmiento,€2.00m 
Valery Fernández,€800k 
Óscar Ureña,€200k 
Gabri Martínez,€100k 
Nahuel Bustos,€3.00m 
Cristhian Stuani,€1.50m 
Mamadou Sylla,€1.20m 
Pablo Moreno,€1.00m 
Pau Víctor,€200k 
Sergio Rico,€4.00m 
Dominik Greif,€2.00m 
Leo Román,€300k 
Manolo Reina,€200k 
Martin Valjent,€4.00m 
Antonio Raíllo,€2.00m 
Franco Russo,€1.20m 
Aleksandar Sedlar,€500k 
Brian Oliván,€2.50m 
Jaume Costa,€1.20m 
Pablo Maffeo,€5.00m 
Joan Sastre,€1.80m 
Giovanni González,€1.50m 
Rodrigo Battaglia,€1.80m 
Iddrisu Baba,€3.50m 
Iñigo Ruiz de Galarreta,€1.80m 
Antonio Sánchez,€1.50m 
Aleix Febas,€1.00m 
Clément Grenier,€1.00m 
Salva Sevilla,€300k 
Kang-in Lee,€6.00m 
Dani Rodríguez,€1.20m 
Thomas Giaquinto,€150k 
Amath Ndiaye,€2.00m 
Lago Júnior,€1.20m 
Takefusa Kubo,€7.50m 
Víctor Mollejo,€3.00m 
Jordi Mboula,€1.50m 
Vedat Muriqi,€7.00m 
Fer Niño,€3.00m 
Ángel Rodríguez,€2.00m 
Abdón Prats,€1.50m 
