Players,Values
Oliver Skipp,18000000.0
Vitaliy Mykolenko,18000000.0
Sergiño Dest,18000000.0
Mattia Zaccagni,18000000.0
Juan Musso,18000000.0
Federico Dimarco,18000000.0
Arthur Melo,18000000.0
Musa Barrow,18000000.0
Brahim Díaz,18000000.0
Jonathan Ikoné,18000000.0
Leandro Paredes,17000000.0
Khéphren Thuram,17000000.0
Odsonne Edouard,17000000.0
Kasper Dolberg,17000000.0
Ante Rebic,17000000.0
Alexis Saelemaekers,17000000.0
Yusuf Yazici,17000000.0
Destiny Udogie,17000000.0
Axel Disasi,17000000.0
Adrien Rabiot,17000000.0
Giovanni Simeone,17000000.0
Harry Wilson,17000000.0
Berat Djimsiti,17000000.0
Matt Targett,17000000.0
Jonathan Bamba,17000000.0
Piero Hincapié,17000000.0
Alessio Romagnoli,17000000.0
Marten de Roon,17000000.0
Jordan Veretout,17000000.0
Tyler Adams,17000000.0
Jonathan Burkardt,17000000.0
Jesper Lindström,17000000.0
Maximilian Arnold,17000000.0
Ramy Bensebaini,17000000.0
Luka Jovic,16000000.0
Stefan Savic,16000000.0
Erik Lamela,16000000.0
Anthony Martial,16000000.0
Rafa Mir,16000000.0
William Carvalho,16000000.0
Iker Muniain,16000000.0
Ihlas Bebou,16000000.0
Alban Lafont,16000000.0
Arkadiusz Milik,16000000.0
Duje Caleta-Car,16000000.0
Georginio Rutter,16000000.0
Matteo Pessina,16000000.0
Tommaso Pobega,16000000.0
Luiz Felipe,16000000.0
Marash Kumbulla,16000000.0
Ludovic Ajorque,16000000.0
Ludovic Blas,16000000.0
Randal Kolo Muani,16000000.0
Sander Berge,16000000.0
Jerry St. Juste,16000000.0
Emre Can,16000000.0
Hee-chan Hwang,16000000.0
Diadié Samassékou,16000000.0
Bertrand Traoré,16000000.0
Eddie Nketiah,16000000.0
David Brooks,16000000.0
Max Kilman,16000000.0
Dele Alli,16000000.0
Alex Oxlade-Chamberlain,16000000.0
Miguel Almirón,16000000.0
Anthony Martial,16000000.0
Florian Grillitsch,16000000.0
Hee-chan Hwang,16000000.0
Dominic Solanke,16000000.0
Maxwel Cornet,15000000.0
Cheick Doucouré,15000000.0
Romain Faivre,15000000.0
Pape Matar Sarr,15000000.0
Guillermo Maripán,15000000.0
Youcef Atal,15000000.0
Alassane Plea,15000000.0
Gelson Martins,15000000.0
Nick Pope,15000000.0
Thorgan Hazard,15000000.0
Manuel Lazzari,15000000.0
Allan,15000000.0
Konstantinos Tsimikas,15000000.0
Kieran Trippier,15000000.0
Nuno Tavares,15000000.0
Fábio Silva,15000000.0
Jonny Otto,15000000.0
Harry Winks,15000000.0
Brennan Johnson,15000000.0
David de Gea,15000000.0
Jordan Henderson,15000000.0
Pierre-Emerick Aubameyang,15000000.0
Maxwel Cornet,15000000.0
Karl Toko Ekambi,15000000.0
Amad Diallo,15000000.0
Alexandre Lacazette,15000000.0
Jefferson Lerma,15000000.0
Tosin Adarabioyo,15000000.0
Mattias Svanberg,15000000.0
Sasa Lukic,15000000.0
Maxime López,15000000.0
Josip Brekalo,15000000.0
Gerard Deulofeu,15000000.0
Wojciech Szczesny,15000000.0
Arthur Theate,15000000.0
Stephane Singo,15000000.0
Jonathan Clauss,15000000.0
Youssoufa Moukoko,15000000.0
Justin Kluivert,15000000.0
Breel Embolo,15000000.0
Kieran Trippier,15000000.0
Mauro Arambarri,15000000.0
Pierre-Emerick Aubameyang,15000000.0
Igor Zubeldia,15000000.0
Oihan Sancet,15000000.0
Juanmi,15000000.0
Borja Iglesias,15000000.0
Mathías Olivera,15000000.0
Rui Silva,15000000.0
Yunus Musah,15000000.0
Exequiel Palacios,15000000.0
Kerem Demirbay,15000000.0
Corentin Tolisso,15000000.0
Manuel Neuer,15000000.0
Fran Beltrán,15000000.0
Josip Brekalo,15000000.0
Orel Mangala,15000000.0
Silas,15000000.0
Konstantinos Mavropanos,15000000.0
Marcel Sabitzer,15000000.0
Joakim Maehle,14000000.0
Ivan Ilic,14000000.0
Wout Weghorst,14000000.0
Christian Nörgaard,14000000.0
Vitaly Janelt,14000000.0
Kayky,14000000.0
Nemanja Maksimovic,14000000.0
Gonzalo Montiel,14000000.0
Manu Trigueros,14000000.0
Dani Ceballos,14000000.0
Walter Benítez,14000000.0
Myron Boadu,14000000.0
Baptiste Santamaria,14000000.0
Mitchel Bakker,14000000.0
Jason Denayer,14000000.0
Jeff Reine-Adélaïde,14000000.0
Emerson,14000000.0
Sergi Canós,14000000.0
Jonas Wind,14000000.0
Wout Weghorst,14000000.0
Igor,14000000.0
Yussuf Poulsen,14000000.0
Benjamin Henrichs,14000000.0
Emerson,14000000.0
Arthur Cabral,14000000.0
Danilo Pereira,14000000.0
Baptiste Santamaria,14000000.0
Albert Sambi Lokonga,14000000.0
Éderson,13000000.0
Nahitan Nández,13000000.0
Nicolás Domínguez,13000000.0
Danilo,13000000.0
Dennis Praet,13000000.0
Hans Hateboer,13000000.0
Felipe Anderson,13000000.0
Rick Karsdorp,13000000.0
Sean Longstaff,13000000.0
Ellyes Skhiri,13000000.0
Calvin Stengs,13000000.0
Salih Özcan,13000000.0
Andy Delort,13000000.0
Krépin Diatta,13000000.0
Anton Stach,13000000.0
Jonas Hofmann,13000000.0
Tuta,13000000.0
Yeray Álvarez,13000000.0
Robert Andrich,13000000.0
Ross Barkley,12000000.0
Japhet Tanganga,12000000.0
Manuel Lanzini,12000000.0
Fábio Carvalho,12000000.0
Divock Origi,12000000.0
Yoane Wissa,12000000.0
Lloyd Kelly,12000000.0
Vladimir Coufal,12000000.0
Billy Gilmour,12000000.0
Brandon Williams,12000000.0
Ethan Pinnock,12000000.0
Reece Oxford,12000000.0
Marcos Alonso,12000000.0
Takumi Minamino,12000000.0
Christian Günter,12000000.0
Matt Doherty,12000000.0
Dani Vivian,12000000.0
Willian José,12000000.0
Álvaro Odriozola,12000000.0
Andrej Kramaric,12000000.0
Roland Sallai,12000000.0
Vincenzo Grifo,12000000.0
Amine Adli,12000000.0
Dan Burn,12000000.0
Timothy Weah,12000000.0
Nicola Zalewski,12000000.0
Lucas Vázquez,12000000.0
Gaetano Castrovilli,12000000.0
Álvaro Odriozola,12000000.0
Razvan Marin,12000000.0
