Players,Values
Tyrick Mitchell,€25.00m 
Reece Hannam,€200k 
Joel Ward,€2.00m 
Nathaniel Clyne,€2.00m 
Martin Kelly,€1.00m 
Jairo Riedewald,€5.00m 
Luka Milivojevic,€4.00m 
Cheikhou Kouyaté,€4.00m 
Conor Gallagher,€25.00m 
Will Hughes,€6.00m 
James McArthur,€1.20m 
Jeffrey Schlupp,€8.00m 
Eberechi Eze,€22.00m 
Wilfried Zaha,€38.00m 
Michael Olise,€22.00m 
Jesurun Rak-Sakyi,€500k 
Scott Banks,€250k 
Odsonne Edouard,€17.00m 
Jean-Philippe Mateta,€10.00m 
Jordan Ayew,€6.00m 
Christian Benteke,€6.00m 
Luke Plange,€800k 
Freddie Woodman,€9.00m 
Mark Travers,€2.50m 
Örjan Nyland,€700k 
Will Dennis,€100k 
Lloyd Kelly,€12.00m 
Nathaniel Phillips,€8.00m 
Chris Mepham,€4.00m 
Steve Cook,€2.80m 
James Hill,€1.00m 
Gary Cahill,€400k 
Zeno Ibsen Rossi,€250k 
Jordan Zemura,€3.00m 
Leif Davis,€800k 
Ethan Laird,€5.00m 
Jack Stacey,€3.00m 
Adam Smith,€1.50m 
Brennan Camp,€100k 
Jefferson Lerma,€15.00m 
Philip Billing,€18.00m 
Lewis Cook,€9.00m 
Ben Pearson,€2.50m 
Gavin Kilkenny,€1.50m 
Kyle Taylor,€100k 
Todd Cantwell,€18.00m 
Robbie Brady,€1.00m 
Ryan Christie,€9.00m 
Emiliano Marcondes,€2.00m 
Jaidon Anthony,€6.00m 
Siriki Dembélé,€2.80m 
Morgan Rogers,€1.80m 
Junior Stanislas,€700k 
David Brooks,€16.00m 
Jamal Lowe,€1.80m 
Dominic Solanke,€16.00m 
Kieffer Moore,€5.00m 
Christian Saydee,€50k 
Marek Rodak,€5.00m 
Paulo Gazzaniga,€2.00m 
Fabri,€500k 
Damian Las,€50k 
Tosin Adarabioyo,€15.00m 
Alfie Mawson,€2.50m 
Michael Hector,€2.00m 
Terence Kongolo,€1.50m 
Tim Ream,€500k 
Antonee Robinson,€8.00m 
Joe Bryan,€3.00m 
