,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
82,Jonathan David,22,37,36,"3,166",24.0,4.0,10.0,6.0,0.0,95,44,46.3,0.15,0.32,15.8,0.0,716.0,875.0,81.8,9883.0,2246.0,116.0,3.3,84.0,0.0,6.0,13.0,11.0,2.0,13.0,0.37,9.0,0.0,0.0,2.0,2.0,0.0,24.0,17,10.0,37.0,20.0,8,32.0,13.0,0.0,LOSC Lille,Attack,Canada,15000000.0
83,Ben White,24,38,36,"3,055",2.0,5.0,0.0,5.0,0.0,10,2,20.0,0.2,1.0,16.7,0.0,1888.0,2242.0,84.2,31271.0,10700.0,64.0,1.89,56.0,7.0,0.0,0.0,1.0,0.0,13.0,0.38,12.0,1.0,0.0,0.0,0.0,0.0,60.0,31,42.0,60.0,47.0,22,82.0,79.0,1.0,Arsenal FC,Defender,England,15000000.0
84,Oihan Sancet,22,36,32,"2,532",10.0,2.0,2.0,6.0,1.0,56,19,33.9,0.14,0.42,17.6,0.0,788.0,975.0,80.8,11658.0,3001.0,95.0,3.38,76.0,1.0,7.0,5.0,5.0,1.0,6.0,0.21,4.0,0.0,0.0,1.0,1.0,0.0,27.0,16,11.0,29.7,10.0,4,31.0,9.0,1.0,Athletic Bilbao,midfield,Spain,15000000.0
85,Salis Abdul Samed,22,33,33,"2,894",1.0,1.0,0.0,6.0,1.0,13,4,30.8,0.08,0.25,19.1,0.0,1819.0,1981.0,91.8,28679.0,7020.0,50.0,1.55,43.0,0.0,2.0,2.0,2.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,46.0,26,29.0,55.8,38.0,36,82.0,26.0,0.0,RC Lens,midfield,Ghana,15000000.0
86,Julian Brandt,26,32,29,"2,397",9.0,8.0,0.0,2.0,0.0,42,26,61.9,0.21,0.35,18.0,1.0,1053.0,1368.0,77.0,16552.0,4185.0,133.0,4.99,87.0,32.0,6.0,2.0,5.0,1.0,20.0,0.75,14.0,3.0,1.0,0.0,2.0,0.0,29.0,20,12.0,27.9,23.0,15,44.0,9.0,1.0,Borussia Dortmund,midfield,Germany,15000000.0
87,Desire Doue,17,26,11,"1,115",3.0,1.0,0.0,5.0,0.0,21,6,28.6,0.14,0.5,21.0,0.0,351.0,453.0,77.5,6004.0,1339.0,35.0,2.82,23.0,3.0,3.0,1.0,3.0,2.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,37.0,18,13.0,40.6,17.0,13,50.0,3.0,0.0,Stade Rennais FC,midfield,France,14600000.0
88,Mats Wieffer,22,25,18,"1,673",1.0,5.0,0.0,5.0,0.0,23,3,13.0,0.04,0.33,15.5,0.0,1075.0,1302.0,82.6,17609.0,4835.0,64.0,3.45,57.0,0.0,2.0,1.0,1.0,3.0,9.0,0.48,9.0,0.0,0.0,0.0,0.0,0.0,50.0,29,23.0,39.7,26.0,26,76.0,37.0,0.0,Feyenoord Rotterdam,midfield,Netherlands,14600000.0
89,Nicolo Casale,24,29,27,"2,437",1.0,1.0,0.0,6.0,0.0,8,2,25.0,0.13,0.5,10.9,0.0,1485.0,1616.0,91.9,26275.0,9500.0,12.0,0.44,10.0,1.0,0.0,1.0,0.0,0.0,4.0,0.15,3.0,0.0,0.0,1.0,0.0,0.0,42.0,20,22.0,64.7,25.0,17,59.0,73.0,1.0,SS Lazio,Defender,Italy,14500000.0
90,Milos Kerkez,18,33,33,"2,671",3.0,1.0,0.0,4.0,0.0,25,9,36.0,0.12,0.33,20.0,0.0,1270.0,1592.0,79.8,20376.0,5650.0,72.0,2.43,54.0,2.0,5.0,3.0,5.0,3.0,3.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,54.0,32,29.0,59.2,39.0,31,85.0,59.0,0.0,AZ Alkmaar,Defender,Hungary,14300000.0
91,Tommaso Baldanzi,19,26,24,"1,772",4.0,0.0,0.0,2.0,0.0,33,12,36.4,0.12,0.33,20.1,0.0,534.0,647.0,82.5,7465.0,1747.0,60.0,3.04,38.0,2.0,7.0,5.0,8.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,25.0,12,7.0,21.9,21.0,2,27.0,5.0,0.0,FC Empoli,midfield,Italy,14200000.0
92,Max Kilman,25,37,37,"3,307",0.0,0.0,0.0,3.0,0.0,14,0,0.0,0.0,0.0,10.1,0.0,1748.0,2107.0,83.0,34713.0,12450.0,23.0,0.63,20.0,0.0,0.0,2.0,1.0,0.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,36.0,20,16.0,53.3,70.0,19,55.0,164.0,1.0,Wolverhampton Wanderers,Defender,England,14000000.0
93,Enzo Le Fee,22,35,35,"3,028",5.0,6.0,0.0,5.0,0.0,45,18,40.0,0.11,0.28,23.4,8.0,1708.0,2118.0,80.6,28806.0,9189.0,120.0,3.57,79.0,27.0,5.0,4.0,4.0,1.0,11.0,0.33,5.0,5.0,0.0,1.0,0.0,0.0,108.0,64,43.0,38.1,50.0,34,142.0,38.0,1.0,Stade Rennais FC,midfield,France,14000000.0
94,Andre Silva,26,31,20,"1,738",4.0,3.0,0.0,3.0,0.0,60,22,36.7,0.07,0.18,13.5,0.0,349.0,477.0,73.2,4277.0,862.0,63.0,3.26,46.0,0.0,4.0,7.0,6.0,0.0,10.0,0.52,7.0,0.0,0.0,3.0,0.0,0.0,12.0,6,3.0,37.5,11.0,3,15.0,3.0,0.0,RB Leipzig,Attack,Portugal,13800000.0
95,Orkun Kokcu,21,32,31,"2,696",8.0,2.0,2.0,6.0,0.0,82,29,35.4,0.07,0.21,25.5,21.0,2044.0,2510.0,81.4,36150.0,12660.0,196.0,6.55,131.0,43.0,7.0,11.0,4.0,0.0,15.0,0.5,9.0,1.0,2.0,2.0,1.0,0.0,39.0,18,17.0,37.8,16.0,19,58.0,16.0,0.0,SL Benfica,midfield,Turkey,13000000.0
96,Bryan Mbeumo,22,38,36,"2,906",9.0,8.0,1.0,5.0,0.0,70,32,45.7,0.11,0.25,16.3,1.0,655.0,991.0,66.1,10466.0,3238.0,97.0,3.0,62.0,27.0,7.0,0.0,1.0,0.0,15.0,0.46,12.0,2.0,1.0,0.0,0.0,0.0,26.0,18,8.0,19.0,24.0,13,39.0,21.0,0.0,Brentford FC,Attack,Cameroon,13000000.0
97,Edson Alvarez,24,31,30,"2,586",3.0,3.0,0.0,10.0,0.0,63,18,28.6,0.05,0.17,15.1,0.0,2138.0,2411.0,88.7,37145.0,12004.0,58.0,2.02,47.0,0.0,1.0,8.0,2.0,0.0,8.0,0.28,6.0,0.0,0.0,2.0,0.0,0.0,71.0,40,44.0,61.1,36.0,36,107.0,76.0,1.0,Ajax Amsterdam,midfield,Mexico,13000000.0
98,Danilho Doekhi,24,25,25,"2,216",5.0,1.0,0.0,0.0,0.0,17,9,52.9,0.29,0.56,11.6,0.0,756.0,955.0,79.2,13777.0,4912.0,21.0,0.85,19.0,0.0,0.0,0.0,2.0,0.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0,38.0,23,14.0,53.8,27.0,29,67.0,93.0,0.0,1.FC Union Berlin,Defender,Netherlands,13000000.0
99,Gregor Kobel,24,27,27,"2,430",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,871.0,1049.0,83.0,22004.0,13496.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,7.0,2.0,Borussia Dortmund,Goalkeeper,Switzerland,13000000.0
