level_0,index,Player,Age,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors,Club,Position,Nation,Value
1004,2872,Henrique Jocu,20,14,6,458,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,28.4,0.0,176.0,219.0,80.4,3402.0,616.0,7.0,1.38,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5,4.0,26.7,6.0,7,20.0,5.0,0.0,Portimonense SC,midfield,Portugal,-50000.0
1007,2544,Tiago Araujo,21,25,8,881,1.0,0.0,0.0,3.0,0.0,14,5,35.7,0.07,0.2,21.9,0.0,283.0,431.0,65.7,5678.0,2128.0,25.0,2.56,18.0,2.0,2.0,2.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8,8.0,36.4,12.0,13,26.0,20.0,0.0,GD Estoril Praia,Attack,Portugal,-50000.0
1006,931,Mickael Tirpan,28,5,5,384,0.0,0.0,0.0,1.0,0.0,2,0,0.0,0.0,0.0,11.1,0.0,124.0,167.0,74.3,2492.0,914.0,4.0,0.94,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7,4.0,44.4,3.0,6,17.0,16.0,0.0,Kasimpasa,midfield,Belgium,-50000.0
1010,1360,Ivanildo Fernandes,26,20,17,"1,483",0.0,0.0,0.0,3.0,1.0,7,1,14.3,0.0,0.0,11.9,0.0,488.0,589.0,82.9,9381.0,3674.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6,6.0,46.2,19.0,16,30.0,96.0,0.0,FC Vizela,Defender,Cape Verde,-100000.0
1011,21,Lukasz Fabianski,37,36,36,"3,111",0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,598.0,930.0,64.3,18882.0,15094.0,2.0,0.06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,1.0,50.0,1.0,0,2.0,10.0,1.0,West Ham United,Goalkeeper,Poland,-100000.0
1012,2341,Miguel Baeza,22,22,14,"1,077",0.0,1.0,0.0,0.0,0.0,14,3,21.4,0.0,0.0,24.1,1.0,333.0,424.0,78.5,5245.0,1208.0,31.0,2.59,20.0,8.0,1.0,1.0,1.0,0.0,4.0,0.33,3.0,1.0,0.0,0.0,0.0,0.0,10.0,7,3.0,30.0,11.0,7,17.0,11.0,0.0,Celta de Vigo,midfield,Spain,-100000.0
1013,2056,Ilija Vukotic,23,13,5,404,0.0,0.0,0.0,1.0,0.0,2,1,50.0,0.0,0.0,16.1,1.0,120.0,164.0,73.2,2000.0,472.0,8.0,1.78,5.0,1.0,0.0,1.0,0.0,1.0,2.0,0.44,2.0,0.0,0.0,0.0,0.0,0.0,8.0,5,0.0,0.0,6.0,6,14.0,12.0,0.0,Boavista FC,midfield,Montenegro,-100000.0
1014,79,Christopher Trimmel,35,25,20,"1,811",0.0,6.0,0.0,1.0,0.0,14,3,21.4,0.0,0.0,17.8,1.0,649.0,1040.0,62.4,11591.0,5038.0,59.0,2.93,31.0,26.0,1.0,0.0,1.0,0.0,7.0,0.35,0.0,7.0,0.0,0.0,0.0,0.0,31.0,16,20.0,64.5,14.0,25,56.0,48.0,0.0,1.FC Union Berlin,Defender,Austria,-100000.0
1015,39,Scott Carson,36,0,0,0,0.0,0.0,0.0,0.0,0.0,590,205,34.7,0.14,0.4,16.6,20.0,23263.0,26642.0,87.3,396454.0,114920.0,1099.0,28.92,826.0,81.0,53.0,76.0,49.0,14.0,168.0,4.42,130.0,7.0,8.0,9.0,12.0,2.0,471.0,272,212.0,46.6,339.0,223,694.0,402.0,8.0,Manchester City,Goalkeeper,England,-100000.0
1016,2549,Luquinha,21,17,11,"1,170",2.0,1.0,1.0,2.0,0.0,16,4,25.0,0.06,0.25,19.2,0.0,408.0,527.0,77.4,6211.0,1867.0,57.0,4.38,41.0,8.0,2.0,4.0,1.0,1.0,3.0,0.23,2.0,0.0,0.0,0.0,1.0,0.0,17.0,12,8.0,44.4,21.0,1,18.0,3.0,0.0,Portimonense SC,midfield,Brazil,-100000.0
1017,967,David Gil,28,4,4,360,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,66.0,129.0,51.2,2769.0,2382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.0,0.0,Cádiz CF,Goalkeeper,Spain,-100000.0
1018,1354,Leonardo Ruiz,26,25,8,929,4.0,0.0,0.0,5.0,1.0,22,7,31.8,0.18,0.57,14.4,0.0,202.0,257.0,78.6,2957.0,373.0,20.0,1.94,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4,3.0,20.0,7.0,2,7.0,4.0,0.0,Rio Ave FC,Attack,Colombia,-100000.0
1019,1963,Marcin Listkowski,24,5,0,77,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,13.9,0.0,16.0,24.0,66.7,204.0,71.0,1.0,1.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.0,2.0,0.0,US Lecce,midfield,Poland,-100000.0
1008,291,Cristian Gamboa,32,19,17,"1,477",0.0,0.0,0.0,2.0,0.0,8,1,12.5,0.0,0.0,29.6,0.0,458.0,684.0,67.0,9419.0,3894.0,28.0,1.71,20.0,6.0,1.0,0.0,0.0,1.0,2.0,0.12,0.0,2.0,0.0,0.0,0.0,0.0,42.0,24,21.0,67.7,20.0,16,58.0,34.0,1.0,VfL Bochum,Defender,Costa Rica,-100000.0
1009,190,Rafael Martins,33,26,18,"1,431",6.0,1.0,0.0,5.0,0.0,37,10,27.0,0.16,0.6,15.6,0.0,243.0,378.0,64.3,3445.0,553.0,27.0,1.71,17.0,0.0,0.0,6.0,2.0,2.0,3.0,0.19,1.0,0.0,0.0,1.0,1.0,0.0,8.0,4,0.0,0.0,13.0,0,8.0,15.0,0.0,Casa Pia AC,Attack,Brazil,-100000.0
1021,479,Nino Galovic,30,19,14,"1,303",0.0,1.0,0.0,3.0,0.0,2,1,50.0,0.0,0.0,9.7,0.0,546.0,620.0,88.1,10491.0,3594.0,5.0,0.35,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,13.0,10,7.0,87.5,14.0,16,29.0,66.0,0.0,FC Arouca,Defender,Croatia,-150000.0
1022,1211,Joao Carlos,27,23,5,711,2.0,1.0,0.0,2.0,0.0,24,10,41.7,0.08,0.2,16.2,1.0,87.0,148.0,58.8,1473.0,299.0,10.0,1.27,7.0,0.0,1.0,1.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1.0,20.0,8.0,2,4.0,9.0,0.0,GD Estoril Praia,Attack,Brazil,-150000.0
1020,309,Filipe Ferreira,31,7,4,306,0.0,1.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,142.0,177.0,80.2,2345.0,1065.0,8.0,2.36,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3,4.0,80.0,2.0,2,8.0,14.0,0.0,Boavista FC,Defender,Portugal,-150000.0
1029,153,Sven Ulreich,33,3,3,270,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,110.0,131.0,84.0,2282.0,1531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,100.0,0.0,0,1.0,0.0,1.0,Bayern Munich,Goalkeeper,Germany,-200000.0
1031,67,Federico Fazio,35,14,12,"1,074",1.0,0.0,0.0,2.0,1.0,11,2,18.2,0.09,0.5,10.7,0.0,410.0,536.0,76.5,7740.0,3216.0,12.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12,4.0,36.4,9.0,28,43.0,61.0,0.0,US Salernitana 1919,Defender,Argentina,-200000.0
1033,2107,Inaki Pena,23,2,0,73,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,92.6,585.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,FC Barcelona,Goalkeeper,Spain,-200000.0
1030,347,Clement Grenier,31,21,6,718,0.0,0.0,0.0,7.0,0.0,3,2,66.7,0.0,0.0,23.1,1.0,256.0,356.0,71.9,4406.0,1363.0,18.0,2.26,11.0,6.0,1.0,0.0,0.0,0.0,1.0,0.13,0.0,1.0,0.0,0.0,0.0,0.0,20.0,8,10.0,50.0,9.0,6,26.0,7.0,0.0,RCD Mallorca,midfield,France,-200000.0
1028,351,Manuel Gulde,31,15,8,643,1.0,0.0,0.0,2.0,0.0,2,1,50.0,0.5,1.0,6.1,0.0,343.0,412.0,83.3,6393.0,1826.0,6.0,0.84,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,14.0,8,2.0,50.0,5.0,19,33.0,25.0,0.0,SC Freiburg,Defender,Germany,-200000.0
1032,879,Federico Di Francesco,28,36,23,"2,031",2.0,2.0,0.0,5.0,0.0,39,16,41.0,0.05,0.13,17.4,1.0,340.0,511.0,66.5,4915.0,1626.0,49.0,2.17,29.0,5.0,5.0,2.0,6.0,2.0,5.0,0.22,2.0,1.0,1.0,1.0,0.0,0.0,28.0,16,9.0,47.4,16.0,8,36.0,14.0,0.0,US Lecce,Attack,Italy,-200000.0
1026,1492,Philippe Sandler,25,21,20,"1,629",1.0,2.0,0.0,3.0,0.0,9,2,22.2,0.11,0.5,12.7,0.0,939.0,1082.0,86.8,18386.0,7529.0,18.0,0.99,15.0,0.0,0.0,3.0,0.0,0.0,3.0,0.17,2.0,0.0,0.0,1.0,0.0,0.0,21.0,13,12.0,75.0,19.0,20,41.0,81.0,3.0,NEC Nijmegen,Defender,Netherlands,-200000.0
1024,2318,Robert Bozenik,22,23,9,969,4.0,1.0,0.0,5.0,0.0,35,10,28.6,0.11,0.4,15.7,0.0,130.0,175.0,74.3,2196.0,264.0,27.0,2.51,20.0,0.0,3.0,2.0,2.0,0.0,3.0,0.28,1.0,0.0,0.0,1.0,1.0,0.0,9.0,3,3.0,30.0,3.0,0,9.0,2.0,0.0,Boavista FC,Attack,Slovakia,-200000.0
1023,1219,Matus Bero,26,31,31,"2,748",5.0,3.0,1.0,6.0,0.0,58,19,32.8,0.07,0.21,18.4,0.0,871.0,1208.0,72.1,13472.0,3803.0,87.0,2.85,63.0,2.0,2.0,12.0,8.0,0.0,8.0,0.26,4.0,0.0,1.0,3.0,0.0,0.0,51.0,27,22.0,31.9,45.0,16,67.0,30.0,0.0,VfL Bochum,midfield,Slovakia,-200000.0
1027,504,Pedro Obiang,30,17,11,876,0.0,1.0,0.0,2.0,0.0,7,0,0.0,0.0,0.0,19.9,0.0,363.0,438.0,82.9,6702.0,2194.0,11.0,1.13,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,26.0,17,10.0,55.6,12.0,8,34.0,15.0,0.0,US Sassuolo,midfield,Equatorial Guinea,-200000.0
1034,796,Pedro Sa,28,13,11,740,0.0,1.0,0.0,2.0,1.0,2,0,0.0,0.0,0.0,28.1,0.0,266.0,348.0,76.4,4849.0,1328.0,11.0,1.34,5.0,1.0,1.0,0.0,4.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3,7.0,25.9,7.0,6,17.0,20.0,0.0,CF Estrela Amadora SAD,midfield,Portugal,-200000.0
1025,254,Dyego Sousa,32,20,3,527,0.0,1.0,0.0,1.0,0.0,13,4,30.8,0.0,0.0,14.2,0.0,107.0,160.0,66.9,1396.0,361.0,14.0,2.39,11.0,0.0,2.0,1.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6,4.0,80.0,4.0,1,11.0,14.0,0.0,UD Almería,Attack,Portugal,-200000.0
1040,1277,Jose Pozo,26,8,1,88,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20.9,0.0,34.0,45.0,75.6,481.0,128.0,7.0,7.16,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,0.0,0.0,1,3.0,1.0,0.0,Rayo Vallecano,midfield,Spain,-200000.0
1043,2707,Carlos Dominguez,21,3,1,108,0.0,0.0,0.0,0.0,0.0,1,1,100.0,0.0,0.0,21.5,0.0,28.0,34.0,82.4,465.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,50.0,1.0,0,1.0,7.0,0.0,Celta de Vigo,Defender,Spain,-200000.0
1042,201,Manuel Riemann,33,34,34,"3,060",0.0,0.0,0.0,3.0,0.0,1,0,0.0,0.0,0.0,11.5,0.0,1065.0,1761.0,60.5,41782.0,36334.0,21.0,0.62,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,3.0,60.0,1.0,5,8.0,23.0,7.0,VfL Bochum,Goalkeeper,Germany,-200000.0
1041,508,Bruno Martins Indi,30,4,4,314,0.0,0.0,0.0,1.0,0.0,2,0,0.0,0.0,0.0,21.2,0.0,238.0,275.0,86.5,5069.0,1509.0,3.0,0.86,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,50.0,2.0,1,3.0,11.0,0.0,AZ Alkmaar,Defender,Netherlands,-200000.0
1035,268,Tony Jantschke,32,8,1,99,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,79.0,86.0,91.9,1453.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,100.0,5.0,0,2.0,5.0,0.0,Borussia Mönchengladbach,Defender,Germany,-200000.0
1039,1463,Kevin Zohi,25,25,10,900,2.0,3.0,0.0,1.0,0.0,26,9,34.6,0.08,0.22,17.4,0.0,191.0,271.0,70.5,2765.0,713.0,31.0,3.1,19.0,0.0,5.0,5.0,2.0,0.0,4.0,0.4,2.0,0.0,1.0,1.0,0.0,0.0,18.0,7,8.0,53.3,11.0,5,23.0,8.0,0.0,FC Vizela,Attack,Mali,-200000.0
1037,2044,Diogo Pinto,23,17,5,459,0.0,2.0,0.0,1.0,0.0,4,4,100.0,0.0,0.0,13.8,0.0,104.0,140.0,74.3,1468.0,312.0,16.0,3.12,12.0,2.0,0.0,2.0,0.0,0.0,3.0,0.58,1.0,1.0,0.0,1.0,0.0,0.0,8.0,6,5.0,55.6,1.0,2,10.0,2.0,0.0,Casa Pia AC,midfield,Portugal,-200000.0
1036,1551,Inigo Cordoba,25,31,29,"2,290",5.0,4.0,0.0,3.0,0.0,51,16,31.4,0.1,0.31,17.9,0.0,585.0,869.0,67.3,8510.0,2606.0,57.0,2.24,41.0,1.0,7.0,4.0,4.0,0.0,5.0,0.2,4.0,0.0,0.0,1.0,0.0,0.0,77.0,47,41.0,42.3,56.0,38,115.0,22.0,0.0,Fortuna Sittard,Attack,Spain,-200000.0
1038,2096,Andres Martin,23,9,3,205,0.0,0.0,0.0,1.0,0.0,4,2,50.0,0.0,0.0,13.7,0.0,39.0,77.0,50.6,623.0,173.0,6.0,2.61,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2,3.0,60.0,2.0,1,5.0,2.0,0.0,Rayo Vallecano,Attack,Spain,-200000.0
1044,2332,Luis Santos,22,9,2,284,0.0,0.0,0.0,1.0,0.0,8,4,50.0,0.0,0.0,20.9,0.0,80.0,116.0,69.0,1100.0,255.0,3.0,0.95,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3,0.0,0.0,3.0,3,8.0,3.0,0.0,Boavista FC,Attack,Portugal,-250000.0
1045,2656,Sandro Cruz,21,13,4,532,0.0,1.0,0.0,4.0,0.0,3,2,66.7,0.0,0.0,16.4,0.0,227.0,305.0,74.4,3926.0,1361.0,13.0,2.2,9.0,0.0,2.0,1.0,1.0,0.0,3.0,0.51,2.0,0.0,0.0,1.0,0.0,0.0,16.0,15,10.0,71.4,9.0,7,23.0,16.0,0.0,GD Chaves,Defender,Portugal,-250000.0
1046,272,Simone Romagnoli,32,7,1,167,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,11.2,0.0,61.0,74.0,82.4,1136.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5,2.0,100.0,4.0,1,7.0,11.0,0.0,US Lecce,Defender,Italy,-250000.0
1047,1112,Jo,27,20,2,301,1.0,0.0,0.0,4.0,1.0,12,6,50.0,0.08,0.17,14.5,0.0,41.0,70.0,58.6,477.0,86.0,8.0,2.39,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3,3.0,50.0,5.0,2,6.0,9.0,0.0,GD Chaves,Attack,Brazil,-275000.0
1052,381,Adam Smith,31,37,34,"2,943",0.0,1.0,0.0,11.0,0.0,5,1,20.0,0.0,0.0,16.2,0.0,953.0,1264.0,75.4,16233.0,6898.0,29.0,0.89,25.0,1.0,0.0,2.0,0.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,49.0,29,29.0,48.3,30.0,25,74.0,81.0,1.0,AFC Bournemouth,Defender,England,-300000.0
1055,317,Stanislav Kritsyuk,31,11,11,929,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,329.0,394.0,83.5,8814.0,6021.0,3.0,0.29,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,100.0,0.0,0,1.0,6.0,0.0,Gil Vicente FC,Goalkeeper,Russia,-300000.0
1053,874,Sean Klaiber,28,28,25,"2,230",1.0,4.0,0.0,4.0,0.0,22,4,18.2,0.05,0.25,21.9,0.0,1233.0,1608.0,76.7,20310.0,8149.0,59.0,2.38,52.0,4.0,2.0,1.0,0.0,0.0,8.0,0.32,6.0,0.0,1.0,1.0,0.0,0.0,73.0,52,33.0,52.4,32.0,47,120.0,53.0,1.0,FC Utrecht,Defender,Suriname,-300000.0
1051,1529,Pedrao,25,29,29,"2,582",2.0,0.0,0.0,12.0,0.0,22,6,27.3,0.09,0.33,13.3,0.0,1256.0,1546.0,81.2,26258.0,10604.0,36.0,1.25,31.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,25,21.0,53.8,39.0,39,79.0,117.0,2.0,Portimonense SC,Defender,Brazil,-300000.0
1050,1943,Carel Eiting,24,34,34,"3,033",3.0,10.0,0.0,4.0,0.0,27,8,29.6,0.11,0.38,18.9,1.0,819.0,1241.0,66.0,13435.0,5296.0,134.0,3.98,73.0,52.0,5.0,1.0,1.0,2.0,14.0,0.42,3.0,10.0,1.0,0.0,0.0,0.0,67.0,39,26.0,44.8,43.0,31,98.0,38.0,0.0,FC Volendam,midfield,Netherlands,-300000.0
1049,1407,Liam Henderson,26,25,11,"1,007",0.0,1.0,0.0,9.0,0.0,12,5,41.7,0.0,0.0,23.5,1.0,432.0,545.0,79.3,7210.0,2156.0,33.0,2.95,30.0,1.0,0.0,1.0,0.0,1.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10,4.0,19.0,10.0,10,23.0,10.0,0.0,FC Empoli,midfield,Scotland,-300000.0
1048,1436,Luca Pfeiffer,25,19,6,701,0.0,0.0,0.0,1.0,1.0,12,1,8.3,0.0,0.0,13.8,0.0,129.0,201.0,64.2,2051.0,499.0,24.0,3.09,20.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,4.0,1,2.0,5.0,0.0,VfB Stuttgart,Attack,Germany,-300000.0
1054,2465,Leo Leroy,22,27,14,"1,192",0.0,0.0,0.0,7.0,0.0,18,6,33.3,0.0,0.0,20.6,1.0,387.0,521.0,74.3,6219.0,2029.0,31.0,2.34,24.0,0.0,1.0,4.0,1.0,1.0,7.0,0.53,7.0,0.0,0.0,0.0,0.0,0.0,53.0,38,31.0,54.4,25.0,14,67.0,8.0,0.0,Montpellier HSC,midfield,France,-300000.0
1056,2145,Nicolas Janvier,23,19,4,631,1.0,0.0,0.0,3.0,0.0,16,2,12.5,0.06,0.5,26.6,2.0,320.0,411.0,77.9,6418.0,1940.0,19.0,2.71,13.0,6.0,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,16.0,11,6.0,46.2,9.0,6,22.0,2.0,0.0,Alanyaspor,midfield,France,-300000.0
1064,782,Abdon Prats,29,26,2,416,1.0,1.0,0.0,1.0,0.0,6,4,66.7,0.17,0.25,13.9,0.0,58.0,91.0,63.7,874.0,173.0,5.0,1.08,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,5.0,0,1.0,2.0,0.0,RCD Mallorca,Attack,Spain,-300000.0
1058,2214,Bruno Jordao,23,11,9,843,1.0,0.0,0.0,4.0,0.0,13,4,30.8,0.08,0.25,19.9,0.0,222.0,287.0,77.4,4115.0,994.0,21.0,2.24,16.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11,6.0,27.3,10.0,12,25.0,7.0,0.0,Wolverhampton Wanderers,midfield,Portugal,-300000.0
1057,277,Sven Michel,32,21,2,495,3.0,1.0,1.0,2.0,0.0,15,2,13.3,0.13,1.0,24.2,0.0,100.0,181.0,55.2,1279.0,290.0,13.0,2.36,12.0,0.0,1.0,0.0,0.0,0.0,2.0,0.36,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5,4.0,50.0,5.0,0,9.0,4.0,0.0,FC Augsburg,Attack,Germany,-300000.0
1063,107,Angelo Ogbonna,34,16,13,"1,237",0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,12.6,0.0,332.0,415.0,80.0,6299.0,2059.0,6.0,0.44,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4,5.0,50.0,11.0,17,28.0,74.0,1.0,West Ham United,Defender,Italy,-300000.0
1062,2623,Demba Seck,21,19,6,519,0.0,0.0,0.0,0.0,0.0,10,3,30.0,0.0,0.0,16.0,0.0,127.0,166.0,76.5,1746.0,354.0,14.0,2.42,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2,2.0,66.7,3.0,1,6.0,1.0,0.0,Torino FC,Attack,Senegal,-300000.0
1060,408,Martin Montoya,31,6,6,453,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,21.3,0.0,190.0,244.0,77.9,2765.0,1133.0,7.0,1.39,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8,10.0,83.3,6.0,9,22.0,14.0,1.0,Real Betis Balompié,Defender,Spain,-300000.0
1059,2427,Nikolas Nartey,22,9,5,473,0.0,0.0,0.0,1.0,0.0,4,0,0.0,0.0,0.0,23.9,0.0,225.0,282.0,79.8,3486.0,1202.0,9.0,1.72,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,11.0,6,5.0,55.6,9.0,4,15.0,12.0,0.0,VfB Stuttgart,midfield,Denmark,-300000.0
1061,1924,Abdou Harroui,24,23,5,647,2.0,0.0,0.0,2.0,0.0,14,4,28.6,0.14,0.5,23.4,0.0,254.0,308.0,82.5,3861.0,992.0,15.0,2.09,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,17.0,6,2.0,28.6,6.0,2,19.0,10.0,0.0,Frosinone Calcio,midfield,Morocco,-300000.0
1065,2939,Denso Kasius,19,7,4,342,0.0,2.0,0.0,1.0,0.0,4,0,0.0,0.0,0.0,23.9,0.0,143.0,192.0,74.5,2576.0,864.0,15.0,3.94,13.0,0.0,2.0,0.0,0.0,0.0,2.0,0.52,2.0,0.0,0.0,0.0,0.0,0.0,12.0,6,8.0,80.0,6.0,3,15.0,6.0,0.0,AZ Alkmaar,Defender,Netherlands,-300000.0
1069,406,Luigi Sepe,31,17,17,"1,530",0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,441.0,648.0,68.1,11985.0,9017.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,US Salernitana 1919,Goalkeeper,Italy,-400000.0
1067,510,Tolga Cigerci,30,11,10,672,0.0,1.0,0.0,2.0,0.0,9,3,33.3,0.0,0.0,29.4,1.0,326.0,420.0,77.6,5350.0,1484.0,19.0,2.54,12.0,4.0,1.0,1.0,0.0,1.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,16.0,13,10.0,62.5,6.0,8,24.0,5.0,0.0,MKE Ankaragücü,midfield,Turkey,-400000.0
1066,2053,Johan Vasquez,23,25,19,"1,813",1.0,0.0,0.0,7.0,0.0,12,1,8.3,0.08,1.0,12.3,0.0,632.0,810.0,78.0,11163.0,4435.0,20.0,0.99,17.0,0.0,0.0,0.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,41.0,26,18.0,46.2,27.0,45,86.0,93.0,1.0,Genoa CFC,Defender,Mexico,-400000.0
1071,561,Danilo Soares,30,23,23,"1,766",0.0,0.0,0.0,6.0,0.0,2,0,0.0,0.0,0.0,29.1,0.0,751.0,1004.0,74.8,13624.0,5004.0,34.0,1.73,30.0,1.0,0.0,0.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,72.0,46,43.0,59.7,29.0,30,102.0,56.0,1.0,VfL Bochum,Defender,Brazil,-400000.0
