Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Saliba William,21,DF,27,27,"2,415",2,1,0,4,0,6,3,50.0,0.33,0.67,13.8,0,1698,1865,91.0,29692,11617,14,0.52,11,2,1,0,0,0,2,0.07,2,0,0,0,0,0,34,20,15,83.3,13,19,53,85,4
Zinchenko Oleksandr,25,DF,27,26,"2,118",1,2,0,3,0,28,7,25.0,0.04,0.14,22.7,0,1652,1911,86.4,27023,7899,56,2.38,49,1,0,4,1,1,4,0.17,3,0,0,1,0,0,40,18,21,53.8,20,22,62,38,2
Jesus Gabriel,25,FW,26,24,"2,064",11,6,1,6,0,76,31,40.8,0.13,0.32,10.6,0,561,699,80.3,8525,1644,83,3.62,43,1,12,11,13,3,12,0.52,8,0,1,1,2,0,33,25,15,48.4,27,11,44,15,1
Trossard Leandro,27,FW,20,10,931,1,10,0,0,0,17,5,29.4,0.06,0.20,17.5,0,347,452,76.8,5770,1501,34,3.29,23,7,1,1,2,0,9,0.87,8,1,0,0,0,0,12,7,6,33.3,18,6,18,3,1
Nketiah Eddie,23,FW,30,9,"1,089",4,1,0,3,0,41,14,34.1,0.10,0.29,11.3,0,205,255,80.4,2894,350,29,2.40,14,0,6,6,3,0,3,0.25,2,0,0,0,1,0,13,9,2,25.0,7,1,14,7,0
Jorginho,30,MF,14,9,855,0,1,0,0,0,6,0,0.0,0.00,,22.3,0,641,736,87.1,10809,3031,21,2.21,19,0,0,0,0,2,5,0.53,4,0,0,0,0,1,18,13,5,20.8,7,9,27,8,0
Tierney Kieran,25,DF,27,6,795,0,1,0,0,0,7,2,28.6,0.00,0.00,23.1,0,362,486,74.5,6636,2048,12,1.36,10,0,1,1,0,0,4,0.45,4,0,0,0,0,0,20,11,12,75.0,8,11,31,25,0
Tomiyasu Takehiro,23,DF,21,6,663,0,1,0,2,0,3,0,0.0,0.00,,12.1,0,384,474,81.0,6453,2036,10,1.36,8,2,0,0,0,0,2,0.27,2,0,0,0,0,0,27,18,13,72.2,7,14,41,15,1
Holding Rob,26,DF,14,6,566,1,0,0,0,0,5,2,40.0,0.20,0.50,12.8,0,382,442,86.4,7494,2701,6,0.95,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,8,5,3,50.0,6,3,11,27,1
Kiwior Jakub,22,DF,7,5,427,1,0,0,0,0,1,1,100.0,1.00,1.00,10.0,0,177,205,86.3,3030,924,1,0.21,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,7,5,5,62.5,5,6,13,10,0
Vieira Fabio,22,"MF,FW",22,3,514,1,2,0,0,0,15,2,13.3,0.07,0.50,20.1,0,234,290,80.7,3557,834,23,4.03,17,2,2,2,0,0,3,0.53,3,0,0,0,0,0,6,4,3,60.0,5,4,10,2,0
Sambi Lokonga Albert,22,MF,6,2,198,0,0,0,0,0,0,0,,,,,0,132,140,94.3,2321,539,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,1,0,0.0,1,5,6,2,0
Elneny Mohamed,30,MF,5,1,113,0,0,0,0,0,0,0,,,,,0,57,60,95.0,1031,224,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,100.0,0,0,1,0,0
Nelson Reiss,22,FW,11,0,212,3,2,0,0,0,12,7,58.3,0.25,0.43,16.4,1,101,120,84.2,1331,213,19,8.07,13,0,3,2,1,0,5,2.12,3,0,0,2,0,0,4,1,2,50.0,3,0,4,4,0
