Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Cambiaghi Nicolò,21,"FW,MF",28,12,"1,285",6,1,0,5,1,36,14,38.9,0.17,0.43,18.1,0,321,432,74.3,4556,930,53,3.71,31,1,3,5,10,3,7,0.49,1,1,2,1,2,0,30,22,8,29.6,19,9,39,8,0
Haas Nicolas,26,MF,24,12,"1,156",1,1,0,2,0,8,3,37.5,0.13,0.33,16.5,0,304,409,74.3,5096,1341,19,1.48,17,1,1,0,0,0,1,0.08,0,1,0,0,0,0,27,13,12,50.0,16,8,35,27,0
De Winter Koni,20,DF,14,12,"1,024",0,0,0,3,0,0,0,,,,,0,424,494,85.8,7908,2790,5,0.44,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,14,9,5,38.5,14,6,20,65,0
Henderson Liam,26,MF,25,11,"1,007",0,1,0,9,0,12,5,41.7,0.00,0.00,23.5,1,432,545,79.3,7210,2156,33,2.95,30,1,0,1,0,1,1,0.09,1,0,0,0,0,0,13,10,4,19.0,10,10,23,10,0
Lammers Sam,25,FW,14,10,883,1,1,0,0,0,28,7,25.0,0.04,0.14,15.5,0,143,230,62.2,1814,451,25,2.55,18,1,3,1,2,0,1,0.10,1,0,0,0,0,0,20,10,7,63.6,4,3,23,8,0
Bajrami Nedim,23,"MF,FW",19,8,940,1,1,0,1,0,21,7,33.3,0.05,0.14,24.1,6,260,348,74.7,3968,1323,39,3.74,27,8,2,1,1,0,4,0.38,2,0,1,0,1,0,8,4,4,66.7,5,7,15,4,0
Fazzini Jacopo,19,MF,21,8,825,0,0,0,4,0,14,1,7.1,0.00,0.00,20.5,1,257,326,78.8,3410,878,24,2.62,16,3,2,1,2,0,1,0.11,0,1,0,0,0,0,31,17,18,52.9,15,7,38,19,0
Perisan Samuele,24,GK,7,7,630,0,0,0,0,0,0,0,,,,,0,174,230,75.7,4436,3030,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,,0,0,0,2,0
Walukiewicz Sebastian,22,DF,11,6,603,0,0,0,0,0,2,1,50.0,0.00,0.00,7.2,0,345,396,87.1,6702,2311,4,0.60,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9,6,4,66.7,10,7,16,30,0
Destro Mattia,31,"FW,MF",17,6,572,1,0,0,3,0,20,7,35.0,0.05,0.14,14.8,0,44,79,55.7,518,127,11,1.73,5,0,3,1,2,0,1,0.16,1,0,0,0,0,0,1,1,0,,2,1,2,5,0
Piccoli Roberto,21,FW,13,6,516,2,0,0,0,0,12,6,50.0,0.17,0.33,15.5,0,62,97,63.9,751,164,9,1.57,6,0,1,2,0,0,1,0.17,0,0,1,0,0,0,1,1,0,0.0,4,1,2,9,0
Cacace Liberato,21,DF,12,5,587,0,0,0,1,0,7,1,14.3,0.00,0.00,19.7,0,338,424,79.7,5441,1880,23,3.53,13,3,2,4,0,1,1,0.15,0,0,0,1,0,0,25,10,9,60.0,15,4,29,16,0
Coulibaly Lassana,26,MF,35,34,"2,892",3,3,0,12,0,16,6,37.5,0.19,0.50,20.8,0,978,1174,83.3,15588,4473,56,1.74,51,1,1,0,3,0,10,0.31,10,0,0,0,0,0,84,50,30,41.1,35,25,109,33,2
