Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Dejaegere Brecht,31,MF,30,25,"1,809",4,1,0,5,0,23,7,30.4,0.17,0.57,14.6,0,518,664,78.0,8008,2371,48,2.39,40,0,4,2,2,0,6,0.30,4,0,1,1,0,0,40,23,15,29.4,25,14,54,11,0
Chaïbi Fares,19,"FW,MF",36,24,"2,340",5,5,0,2,0,63,25,39.7,0.08,0.20,16.8,2,742,1018,72.9,11489,3144,72,2.77,55,1,5,8,3,0,7,0.27,5,0,0,2,0,0,31,18,17,34.0,38,19,50,36,1
Sylla Issiaga,28,DF,17,16,"1,372",0,0,0,3,0,9,3,33.3,0.00,0.00,17.9,0,645,838,77.0,9771,3801,30,1.97,20,5,2,1,2,0,5,0.33,2,2,0,0,1,0,28,15,15,44.1,15,38,66,38,0
Suazo Gabriel,24,DF,18,14,"1,259",0,1,0,1,0,2,0,0.0,0.00,,17.8,0,687,828,83.0,10771,4493,28,2.00,26,1,0,0,0,1,1,0.07,1,0,0,0,0,0,38,22,29,46.0,21,22,60,24,1
Diarra Moussa,21,DF,23,12,"1,225",0,1,0,0,0,1,0,0.0,0.00,,6.4,0,537,646,83.1,8760,3452,16,1.17,15,0,0,0,1,0,3,0.22,3,0,0,0,0,0,20,9,9,60.0,25,19,39,27,1
Onaiwu Ado,26,FW,34,9,"1,082",2,1,0,0,0,19,4,21.1,0.11,0.50,17.2,0,252,337,74.8,3501,718,20,1.66,18,0,0,0,2,0,1,0.08,1,0,0,0,0,0,11,6,5,38.5,5,2,13,5,0
Kamanzi Waren,21,DF,11,7,665,0,0,0,1,0,2,1,50.0,0.00,0.00,18.1,0,306,358,85.5,4140,1289,11,1.49,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,16,9,13,68.4,8,8,24,9,0
Sierro Vincent,26,MF,15,7,665,0,0,0,3,0,8,3,37.5,0.00,0.00,22.3,1,321,408,78.7,6144,1812,14,1.89,8,4,0,2,0,0,0,0.00,0,0,0,0,0,0,19,11,11,37.9,12,4,23,11,1
Genreau Denis,23,MF,20,7,657,0,1,0,3,0,7,2,28.6,0.00,0.00,16.5,0,243,323,75.2,3403,1177,18,2.46,15,0,0,1,0,2,2,0.27,2,0,0,0,0,0,35,13,13,41.9,16,8,43,9,0
Costa Logan,21,DF,6,4,415,0,0,0,0,0,5,2,40.0,0.00,0.00,8.6,0,194,230,84.3,3783,1708,7,1.52,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,9,4,6,66.7,6,4,13,12,0
Keben Biakolo Kévin,18,DF,11,4,362,0,0,0,1,0,1,0,0.0,0.00,,18.2,0,117,148,79.1,1797,613,3,0.75,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,3,2,0,0.0,1,5,8,9,0
Birmančević Veljko,24,"FW,MF",25,2,444,0,0,0,0,0,13,3,23.1,0.00,0.00,19.3,0,107,161,66.5,1391,503,15,3.02,8,0,0,3,4,0,2,0.40,1,0,0,0,1,0,13,7,7,33.3,12,7,20,1,0
Zandén Oliver,20,"DF,MF",5,1,146,0,0,0,0,0,2,1,50.0,0.00,0.00,17.6,0,47,71,66.2,768,319,4,2.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,2,40.0,0,1,3,7,0
Mawissa Christian,17,DF,2,1,98,0,0,0,1,0,0,0,,,,,0,41,48,85.4,600,267,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,1,33.3,0,3,5,1,0
N'Goumou Nathan,22,FW,1,1,90,0,0,0,0,0,0,0,,,,,0,25,30,83.3,352,110,3,3.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,3,2,1,100.0,2,2,5,0,0
Begraoui Yanis,21,"FW,MF",3,1,65,0,0,0,0,0,0,0,,,,,0,14,19,73.7,207,68,2,2.77,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,0,1,50.0,0,1,3,0,0
Bizot Marco,31,GK,37,37,"3,330",0,0,0,4,0,0,0,,,,,0,799,1096,72.9,24651,17824,5,0.14,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.0,1,0,0,24,4
Brassier Lilian,22,DF,36,35,"3,093",0,0,0,5,0,20,3,15.0,0.00,0.00,16.3,0,1257,1634,76.9,26597,11728,29,0.84,23,2,0,2,1,1,2,0.06,0,1,0,0,0,1,42,30,23,71.9,42,53,95,132,1
Lees-Melou Pierre,29,MF,32,32,"2,767",5,5,0,10,1,43,13,30.2,0.12,0.38,23.8,2,1198,1461,82.0,24298,8391,56,1.82,42,2,2,6,1,3,7,0.23,5,0,0,1,0,1,97,55,57,46.3,48,52,149,46,1
Belkebla Haris,28,MF,38,30,"2,656",2,0,1,3,0,9,2,22.2,0.11,0.50,25.5,0,1033,1222,84.5,18238,4759,39,1.32,33,0,0,0,4,2,2,0.07,1,0,0,0,1,0,80,48,44,51.8,32,52,132,21,3
Honorat Franck,25,"FW,MF",33,29,"2,535",6,5,0,1,0,47,17,36.2,0.13,0.35,18.1,4,691,1043,66.3,11988,3679,132,4.69,80,37,5,7,3,0,11,0.39,5,4,1,1,0,0,41,29,19,55.9,22,21,62,18,0
Duverne Jean-Kevin,25,DF,34,27,"2,515",0,0,0,2,0,5,1,20.0,0.00,0.00,17.2,0,1059,1480,71.6,18165,7953,48,1.72,32,4,5,0,7,0,4,0.14,0,0,0,0,4,0,72,38,42,57.5,33,28,100,65,1
Chardonnet Brendan,27,DF,30,27,"2,491",0,0,0,6,0,16,3,18.8,0.00,0.00,11.1,0,1060,1318,80.4,23796,9346,20,0.72,17,1,0,2,0,0,1,0.04,1,0,0,0,0,0,45,27,20,52.6,40,63,108,86,1
