Player,Age,Position,Matches Played,Start,Minutes,Goals,Assists,Penalties Made,Yellow Cards,Red Cards,Shots,Shots On Target,Shots On Target %,Goals Per Shot,Goals Per Shot On Target,Average Shot Distance,Shots From Freekicks,Passes Completed,Passes,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Shot-Creating Actions,Shot-Creating Actions/90,SCA Pass Live,SCA Pass Dead,SCA Take-ons,SCA Shots,SCA Fouls,SCA Defense,Goal-Creating Actions,Goal-Creating Actions/90,Goal Pass Live,Goal Pass Dead,Goal Take-ons,Goal Shots,Goal Fouls,Goal Defense,Tackles,Tackles Won,Challenges,Successful Challenge %,Blocks,Interceptions,Tackles + Interceptions,Clearances,Errors
Donald John,21,"MF,DF",14,13,"1,092",0,0,0,3,1,2,0,0.0,0.00,,11.1,0,356,427,83.4,5839,1808,6,0.49,6,0,0,0,0,0,1,0.08,1,0,0,0,0,0,20,11,7,50.0,14,14,34,23,1
Guti Raúl,25,MF,28,12,"1,117",0,0,0,1,0,20,8,40.0,0.00,0.00,18.9,0,327,409,80.0,4925,1368,16,1.32,13,0,1,2,0,0,2,0.17,2,0,0,0,0,0,18,12,8,44.4,10,8,26,6,0
Magallán Lisandro,28,DF,14,11,902,0,0,0,0,1,6,2,33.3,0.00,0.00,11.2,0,325,391,83.1,6440,2695,9,0.90,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0,19,11,10,83.3,14,13,32,30,1
Ntekja Randy,24,"FW,MF",14,10,726,0,0,0,1,0,14,4,28.6,0.00,0.00,14.3,0,118,171,69.0,1458,339,16,1.99,12,0,3,1,0,0,1,0.12,1,0,0,0,0,0,15,10,2,18.2,15,4,19,9,0
Josan,32,"DF,MF",26,9,"1,078",1,3,0,3,0,6,3,50.0,0.17,0.33,14.3,0,424,539,78.7,7003,2471,25,2.09,18,3,1,0,2,1,5,0.42,3,1,0,0,0,1,25,20,14,51.9,8,7,32,15,1
Blanco Lautaro,23,"DF,MF",17,9,872,0,2,0,2,0,1,1,100.0,0.00,0.00,21.7,0,235,416,56.5,4363,2284,23,2.37,17,2,3,0,0,1,2,0.21,2,0,0,0,0,0,16,9,9,34.6,8,2,18,10,1
Verdú Gonzalo,33,DF,16,9,703,1,0,0,1,2,9,2,22.2,0.11,0.50,12.2,1,269,338,79.6,5668,1965,3,0.38,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,10,5,4,50.0,8,10,20,33,0
Ponce Ezequiel,25,"FW,MF",33,8,"1,122",4,0,0,2,1,29,9,31.0,0.14,0.44,12.9,0,218,292,74.7,2610,432,25,1.99,20,0,0,4,1,0,4,0.32,1,0,0,2,1,0,9,7,0,0.0,6,1,10,13,0
González Diego,27,DF,16,8,958,0,0,0,4,0,6,0,0.0,0.00,,12.8,0,299,382,78.3,6351,2599,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,12,7,7,63.6,14,7,19,50,1
Collado Álex,23,MF,16,8,729,1,1,0,1,0,17,6,35.3,0.06,0.17,22.9,0,276,336,82.1,4177,909,35,4.36,25,6,0,3,1,0,2,0.25,2,0,0,0,0,0,26,14,8,61.5,12,2,28,4,0
Martí Roger,31,FW,12,8,655,0,1,0,2,0,6,2,33.3,0.00,0.00,15.6,0,118,160,73.8,1447,357,13,1.79,10,0,0,1,1,1,1,0.14,1,0,0,0,0,0,5,2,1,20.0,4,1,6,7,0
Carmona,20,"MF,DF",9,8,589,1,0,0,5,1,5,3,60.0,0.20,0.33,17.9,0,129,186,69.4,1917,729,14,2.14,8,0,3,1,1,1,1,0.15,1,0,0,0,0,0,16,9,6,37.5,14,8,24,9,0
Lirola Pol,24,DF,12,7,628,1,0,0,1,0,1,1,100.0,1.00,1.00,10.5,0,240,325,73.8,3762,1309,19,2.72,18,0,1,0,0,0,0,0.00,0,0,0,0,0,0,13,6,8,61.5,3,7,20,16,0
Ezequiel Fernández Nicolás,22,"MF,DF",18,3,514,0,1,0,2,0,5,2,40.0,0.00,0.00,14.7,0,178,240,74.2,2850,1150,21,3.67,18,2,0,1,0,0,2,0.35,2,0,0,0,0,0,23,12,9,52.9,7,5,28,2,1
