Players,Values
Joel Robles,€1.50m 
Claudio Bravo,€1.00m 
Dani Rebollo,€100k 
Edgar González,€6.00m 
Marc Bartra,€6.00m 
Germán Pezzella,€5.00m 
Sidnei,€2.00m 
Víctor Ruiz,€1.50m 
Kike Hermoso,€200k 
Álex Moreno,€18.00m 
Juan Miranda,€5.00m 
Marc Baró,€200k 
José Calderón,€200k 
Héctor Bellerín,€20.00m 
Youssouf Sabaly,€3.00m 
Aitor Ruibal,€3.00m 
Martín Montoya,€1.50m 
Fran Delgado,€400k 
Guido Rodríguez,€25.00m 
William Carvalho,€16.00m 
Paul Akouokou,€4.00m 
Andrés Guardado,€1.50m 
Víctor Camarasa,€1.00m 
Antonio Marchena,€100k 
Nabil Fekir,€40.00m 
Sergio Canales,€20.00m 
Rodri Sánchez,€4.00m 
Yassin Fekir,€300k 
Juanmi,€15.00m 
Cristian Tello,€5.00m 
Diego Lainez,€2.50m 
Rober González,€2.00m 
Joaquín,€1.50m 
Borja Iglesias,€15.00m 
Willian José,€12.00m 
Loren Morón,€4.00m 
Raúl García,€500k 
Unai Simón,€25.00m 
Julen Agirrezabala,€5.00m 
Jokin Ezkieta,€300k 
Ander Iru,€100k 
Iñigo Martínez,€25.00m 
Yeray Álvarez,€13.00m 
Dani Vivian,€12.00m 
Unai Núñez,€9.00m 
Aitor Paredes,€200k 
Yuri Berchiche,€3.00m 
Mikel Balenziaga,€1.20m 
Iñigo Lekue,€3.00m 
Ander Capa,€2.50m 
Óscar de Marcos,€1.80m 
Álex Petxa,€1.00m 
Mikel Vesga,€3.00m 
Peru Nolaskoain,€1.50m 
Unai Vencedor,€20.00m 
Oier Zarraga,€3.50m 
Dani García,€3.00m 
Iker Muniain,€16.00m 
Oihan Sancet,€15.00m 
Álex Berenguer,€12.00m 
Jon Morcillo,€4.00m 
Nico Serrano,€2.50m 
Luis Bilbao,€250k 
Nico Williams,€12.00m 
Juan Artola,€700k 
Iñaki Williams,€25.00m 
Asier Villalibre,€3.00m 
Raúl García,€2.50m 
Bono,€18.00m 
Marko Dmitrović,€5.00m 
Javi Díaz,€500k 
Alfonso Pastor,€250k 
Adrián González,€50k 
Jules Koundé,€60.00m 
Diego Carlos,€40.00m 
Karim Rekik,€5.00m 
Kike Salas,€150k 
Marcos Acuña,€18.00m 
Ludwig Augustinsson,€5.00m 
Juan María Alcedo,€200k 
Pablo Pérez,€100k 
Gonzalo Montiel,€14.00m 
Alejandro Pozo,€4.00m 
Jesús Navas,€3.00m 
Valentino Fattore,€400k 
José Ángel Carmona,€200k 
Nemanja Gudelj,€4.00m 
Fernando,€4.00m 
Joan Jordán,€22.00m 
Óliver Torres,€8.00m 
Ivan Rakitic,€7.00m 
Thomas Delaney,€7.00m 
Pedro Ortiz,€150k 
Óscar Rodríguez,€9.00m 
Nacho Quintana,€300k 
Papu Gómez,€6.00m 
Oussama Idrissi,€4.00m 
Lucas Ocampos,€25.00m 
Tecatito,€18.00m 
Erik Lamela,€16.00m 
Suso,€10.00m 
Juanlu Sánchez,€500k 
Luismi Cruz,€400k 
Antonio Zarzana,€200k 
Youssef En-Nesyri,€25.00m 
Rafa Mir,€16.00m 
Anthony Martial,€16.00m 
Munir El Haddadi,€8.00m 
Luuk de Jong,€4.00m 
Iván Romero,€600k 
Giorgi Mamardashvili,€10.00m 
Jasper Cillessen,€3.00m 
Jaume Doménech,€2.00m 
Cristian Rivero,€200k 
Omar Alderete,€10.00m 
Gabriel Paulista,€7.00m 
Mouctar Diakhaby,€7.00m 
Eray Cömert,€1.50m 
Cristiano Piccini,€1.20m 
Cristhian Mosquera,€1.00m 
José Gayà,€40.00m 
Jesús Vázquez,€5.00m 
Toni Lato,€1.50m 
Thierry Correia,€8.00m 
Daniel Wass,€6.00m 
Dimitri Foulquier,€4.00m 
Joseda Menargues,€200k 
Hugo Guillamón,€20.00m 
Uros Racic,€7.00m 
Carlos Soler,€50.00m 
Yunus Musah,€15.00m 
Ilaix Moriba,€9.00m 
Koba Koindredi,€1.00m 
Pedro Alemañ,€100k 
Gonçalo Guedes,€40.00m 
Bryan Gil,€18.00m 
Manu Vallejo,€3.00m 
Denis Cheryshev,€2.50m 
Álex Blanco,€700k 
Hélder Costa,€5.00m 
Jason,€2.50m 
Hugo González,€200k 
Maxi Gómez,€12.00m 
Hugo Duro,€10.00m 
Marcos André,€5.00m 
Rubén Sobrino,€2.00m 
Sergio Herrera,€8.00m 
Juan Pérez,€600k 
Darío Ramos,€200k 
Yoel Ramírez,€50k 
David García,€20.00m 
Unai García,€1.50m 
Aridane Hernández,€1.50m 
Jonás Ramalho,€800k 
Unai Dufur,€300k 
Manu Sánchez,€10.00m 
Juan Cruz,€2.00m 
Cote,€1.50m 
Nacho Vidal,€5.00m 
Jesús Areso,€800k 
Lucas Torró,€5.00m 
Oier Sanjurjo,€500k 
Jon Moncayola,€12.00m 
Darko Brasanac,€2.00m 
Jaume Grau,€800k 
Iñigo Pérez,€600k 
Roberto Torres,€3.00m 
Javi Martínez,€2.50m 
Rubén García,€8.00m 
Javi Ontiveros,€1.50m 
Kike Barja,€3.00m 
Rober Ibáñez,€500k 
Iker Benito,€300k 
Pau Martínez,€200k 
Chimy Ávila,€8.00m 
Ante Budimir,€6.00m 
Kike García,€1.80m 
Iván Barbero,€500k 
Rubén Blanco,€3.00m 
Matías Dituro,€1.00m 
Gaizka Campos,€150k 
Coke Carrillo,€100k 
Joseph Aidoo,€7.00m 
Néstor Araújo,€4.00m 
Jeison Murillo,€3.50m 
José Fontán,€1.00m 
Carlos Domínguez,€1.00m 
Javi Castro,€200k 
Javi Galán,€12.00m 
Fernando Medrano,€150k 
Hugo Mallo,€4.00m 
Kevin Vázquez,€2.00m 
Thomas Carrique,€400k 
Renato Tapia,€10.00m 
Okay Yokuslu,€3.00m 
Fran Beltrán,€15.00m 
Orbelín Pineda,€4.00m 
Gabri Veiga,€1.50m 
Brais Méndez,€18.00m 
Denis Suárez,€10.00m 
Miguel Baeza,€1.00m 
Franco Cervi,€5.00m 
Nolito,€1.20m 
Alfon González,€300k 
Augusto Solari,€2.50m 
Iago Aspas,€7.00m 
Thiago Galhardo,€2.00m 
David Soria,€8.00m 
Rubén Yáñez,€1.50m 
Diego Conde,€300k 
Djené,€10.00m 
Jorge Cuenca,€8.00m 
Erick Cabaco,€1.80m 
Stefan Mitrovic,€1.80m 
Ignasi Miquel,€1.20m 
Chema Rodríguez,€800k 
Gastón Álvarez,€500k 
Marc Cucurella,€28.00m 
Mathías Olivera,€15.00m 
Jonathan Silva,€1.80m 
Koffi,€200k 
Juan Iglesias,€1.50m 
Damián Suárez,€1.50m 
Allan Nyom,€1.00m 
Florentino,€5.00m 
Okay Yokuslu,€3.00m 
David Timor,€1.00m 
Ángel Algobia,€100k 
Mauro Arambarri,€15.00m 
Nemanja Maksimovic,€14.00m 
Carles Aleñá,€9.00m 
Gonzalo Villar,€5.00m 
John Joe Patrick Finn,€1.00m 
Jakub Jankto,€4.00m 
Óscar Rodríguez,€9.00m 
Santi García,€50k 
Vitolo,€1.50m 
Enes Ünal,€25.00m 
Hugo Duro,€10.00m 
Borja Mayoral,€9.00m 
José Juan Macías,€7.00m 
Sandro Ramírez,€3.50m 
Jaime Mata,€3.00m 
Darío Poveda,€600k 
Mamor Niang,€25k 
Juan Carlos,€300k 
Adrián Ortolá,€300k 
Santiago Bueno,€2.00m 
Bernardo Espinosa,€1.50m 
Juanpe,€1.50m 
Jairo Izquierdo,€800k 
David Juncà,€500k 
Arnau Martínez,€5.00m 
Jordi Calavera,€500k 
Gerard Gumbau,€3.00m 
Ramón Terrats,€1.00m 
Ibrahima Kébé,€600k 
Aleix García,€2.50m 
Pol Lozano,€1.50m 
Víctor Sánchez,€400k 
Álex Sala,€50k 
Álex Baena,€3.00m 
Borja García,€1.50m 
Samu Saiz,€1.00m 
Iván Martín,€800k 
Ricard Artero,€200k 
Óscar Ureña,€200k 
Arnau Ortiz,€100k 
Darío Sarmiento,€2.00m 
Valery Fernández,€800k 
Gabri Martínez,€100k 
Nahuel Bustos,€3.00m 
Cristhian Stuani,€1.50m 
Mamadou Sylla,€1.20m 
Pablo Moreno,€1.00m 
Pau Víctor,€200k 
Fernando Martínez,€800k 
Giorgi Makaridze,€700k 
Diego Fuoli,€200k 
Rodrigo Ely,€2.00m 
Chumi,€2.00m 
Srdjan Babic,€2.00m 
Nikola Maras,€1.20m 
Nélson Monte,€700k 
Juan Ibiza,€500k 
Iván Martos,€400k 
Daniel Carriço,€300k 
David Cuenca,€50k 
Sergio Akieme,€4.00m 
Álex Centelles,€1.50m 
Alejandro Pozo,€4.00m 
Aitor Buñuel,€700k 
Juanjo Nieto,€700k 
Samú Costa,€5.00m 
Iñigo Eguaras,€800k 
Lucas Robertone,€4.00m 
Arnau Puigmal,€1.50m 
César de la Hoz,€1.00m 
Mamadou Sylla,€150k 
Javi Robles,€100k 
Largie Ramazani,€4.00m 
José Carlos Lazo,€2.50m 
Francisco Portillo,€2.00m 
Curro Sánchez,€800k 
Arvin Appiah,€600k 
Juan Villar,€300k 
Carlos Rojas,€100k 
Umar Sadiq,€18.00m 
Dyego Sousa,€1.00m 
Carlos Gilbert,€150k 
Sergio Rico,€4.00m 
Dominik Greif,€2.00m 
Leo Román,€300k 
Manolo Reina,€200k 
Martin Valjent,€4.00m 
Antonio Raíllo,€2.00m 
Franco Russo,€1.20m 
Aleksandar Sedlar,€500k 
Brian Oliván,€2.50m 
Jaume Costa,€1.20m 
Pablo Maffeo,€5.00m 
Joan Sastre,€1.80m 
Giovanni González,€1.50m 
Rodrigo Battaglia,€1.80m 
Iddrisu Baba,€3.50m 
Iñigo Ruiz de Galarreta,€1.80m 
Antonio Sánchez,€1.50m 
Aleix Febas,€1.00m 
Clément Grenier,€1.00m 
Salva Sevilla,€300k 
Kang-in Lee,€6.00m 
Dani Rodríguez,€1.20m 
Thomas Giaquinto,€150k 
Amath Ndiaye,€2.00m 
Lago Júnior,€1.20m 
Takefusa Kubo,€7.50m 
Víctor Mollejo,€3.00m 
Jordi Mboula,€1.50m 
Vedat Muriqi,€7.00m 
Fer Niño,€3.00m 
Ángel Rodríguez,€2.00m 
Abdón Prats,€1.50m 
Matthew Hoppe,€1.00m 
Stole Dimitrievski,€3.00m 
Luca Zidane,€2.00m 
Iván Arboleda,€1.80m 
Miguel Ángel Morro,€600k 
Alejandro Catena,€4.00m 
Nikola Maras,€1.20m 
Esteban Saveljich,€800k 
Jorge Moreno,€500k 
Mario Suárez,€300k 
Fran García,€7.50m 
Kévin Rodrigues,€1.80m 
Iván Balliu,€2.00m 
Mario Hernández,€800k 
Santi Comesaña,€4.00m 
Unai López,€4.00m 
Óscar Valentín,€3.00m 
Pathé Ciss,€2.00m 
Randy Nteka,€4.00m 
Óscar Trejo,€3.00m 
José Pozo,€1.20m 
Álvaro García,€6.00m 
Martín Merquelanz,€1.50m 
Bebé,€800k 
Isi Palazón,€3.00m 
Sergi Guardiola,€3.00m 
Radamel Falcao,€2.00m 
Andrés Martín,€1.20m 
Mamadou Sylla,€1.20m 
Yacine Qasmi,€600k 
Sergio Moreno,€400k 
Conan Ledesma,€6.00m 
David Gil,€800k 
Juan Flere,€100k 
Victor Aznar,€50k 
Fali,€3.00m 
Víctor Chust,€2.50m 
Marcos Mauro,€1.20m 
Varazdat Haroyan,€1.20m 
Juan Cala,€900k 
Luis Hernández,€800k 
Alfonso Espino,€6.00m 
Santiago Arzamendia,€1.80m 
Genar Fornés,€150k 
Iza Carcelén,€1.50m 
Carlos Akapo,€1.20m 
Raúl Parra,€300k 
Jens Jönsson,€4.00m 
Tomás Alarcón,€3.00m 
José Mari,€400k 
Rubén Alcaraz,€2.50m 
Fede San Emeterio,€1.50m 
Álvaro Bastida,€1.00m 
Martín Calderón,€500k 
Álex Fernández,€6.00m 
Oussama Idrissi,€4.00m 
Alberto Perea,€1.00m 
Salvi Sánchez,€2.00m 
Iván Alejo,€1.20m 
Álvaro Jiménez,€600k 
Ivan Chapela,€600k 
Choco Lozano,€4.00m 
Lucas Pérez,€2.50m 
Rubén Sobrino,€2.00m 
Álvaro Negredo,€1.50m 
Florin Andone,€1.00m 
Milutin Osmajic,€700k 
Pedro Benito,€300k 
Luís Maximiano,€12.00m 
Aarón Escandell,€1.00m 
João Costa,€200k 
Cheikh Kane Sarr,€100k 
Ángel Jiménez,€100k 
Domingos Duarte,€8.00m 
Luis Abram,€6.00m 
Raúl Torrente,€3.00m 
Germán Sánchez,€800k 
Pepe Sánchez,€300k 
Sergio Barcia,€250k 
Neyder Lozano,€200k 
Carlos Neva,€4.00m 
Sergio Escudero,€1.80m 
Miguel Ángel Brau,€100k 
Dimitri Foulquier,€4.00m 
Santiago Arias,€4.00m 
Víctor Díaz,€700k 
Quini,€400k 
Njegos Petrovic,€2.50m 
Maxime Gonalons,€1.80m 
Yan Eteki,€1.50m 
Luis Milla,€5.00m 
Monchu,€3.00m 
Ángel Montoro,€1.00m 
Isma Ruiz,€600k 
Darwin Machís,€6.00m 
Myrto Uzuni,€3.00m 
Bryan Zaragoza,€200k 
Antonio Puertas,€4.50m 
Álex Collado,€4.00m 
Alberto Soro,€2.50m 
Rubén Rochina,€2.50m 
Dani Raba,€900k 
Luis Suárez,€9.00m 
Matías Arezo,€6.00m 
Jorge Molina,€1.50m 
Carlos Bacca,€1.00m 
Adrián Butzke,€300k 
Álvaro Valles,€400k 
Raúl Fernández,€200k 
Alfonso Liceras,€50k 
Erick Ferigra,€800k 
Eric Curbelo,€800k 
Alex Suárez,€300k 
Raúl Navas,€300k 
Saúl Coco,€200k 
Sergi Cardona,€800k 
Isaac Hernández,€50k 
Álvaro Lemos,€800k 
Ale Díez,€500k 
David Vicente,€100k 
Nuke Mfulu,€800k 
Sergio Ruiz,€1.00m 
Enzo Loiodice,€1.00m 
Fabio González,€400k 
Unai Veiga,€200k 
Juan Satoca,€100k 
Pol Salvador,€50k 
Alberto Moleiro,€3.00m 
Jonathan Viera,€2.00m 
Kirian Rodríguez,€800k 
Óscar Clemente,€600k 
Maikel Mesa,€300k 
Jesé,€3.00m 
Pejiño,€1.50m 
Adalberto Peñaranda,€800k 
Benito Ramírez,€600k 
Rober González,€2.00m 
Hernâni,€700k 
Óscar Pinchi,€300k 
Ale García,€200k 
Clau Mendes,€300k 
Rafa Mújica,€300k 
Armando Sadiku,€300k 
Fernando Pacheco,€5.00m 
Antonio Sivera,€1.00m 
Jesús Owono,€200k 
Adrián Rodríguez,€50k 
Matt Miazga,€2.00m 
Víctor Laguardia,€2.00m 
Florian Lejeune,€2.00m 
Abdel Abqar,€150k 
Rubén Duarte,€3.00m 
Javi López,€700k 
Saúl García,€600k 
Nahuel Tenaglia,€3.00m 
Martín Aguirregabiria,€2.50m 
Ximo Navarro,€1.20m 
Alexandru Tirlea,€100k 
Mamadou Loum,€4.00m 
Pere Pons,€2.50m 
Tachi,€800k 
Antonio Perera,€400k 
Gonzalo Escalante,€2.50m 
Toni Moya,€1.50m 
Tomás Pina,€800k 
Álex Balboa,€100k 
Manu García,€3.00m 
Iván Martín,€800k 
Manu Vallejo,€3.00m 
Luis Rioja,€3.00m 
Facundo Pellistri,€2.50m 
Jason,€2.50m 
Edgar Méndez,€1.20m 
Joselu,€5.00m 
Lucas Pérez,€2.50m 
Miguel de la Fuente,€1.50m 
Taichi Hara,€1.30m 
Mamadou Sylla,€1.20m 
John Guidetti,€1.00m 
Marc Tenas,€500k 
Giorgi Gagua,€150k 
Alan Godoy,€100k 
Alex Meret,€10.00m 
David Ospina,€5.00m 
Hubert Idasiak,€150k 
Davide Marfella,€50k 
Kalidou Koulibaly,€35.00m 
Amir Rrahmani,€25.00m 
Axel Tuanzebe,€7.00m 
Konstantinos Manolas,€4.50m 
Juan Jesus,€4.00m 
Davide Costanzo,€125k 
Benedetto Barba,€75k 
Jonathan Spedalieri,€50k 
Mário Rui,€8.00m 
Faouzi Ghoulam,€1.40m 
Giovanni Di Lorenzo,€25.00m 
Alessandro Zanoli,€4.00m 
Kévin Malcuit,€1.00m 
Moussa Mané,€25k 
Stanislav Lobotka,€20.00m 
Diego Demme,€8.00m 
Luca Palmiero,€1.20m 
Fabián Ruiz,€55.00m 
Piotr Zielinski,€40.00m 
Frank Anguissa,€30.00m 
Eljif Elmas,€24.00m 
Gianluca Gaetano,€4.50m 
Antonio Vergara,€150k 
Lorenzo Insigne,€25.00m 
Antonio Cioffi,€500k 
Hirving Lozano,€30.00m 
Matteo Politano,€20.00m 
Adam Ounas,€7.00m 
Dries Mertens,€4.00m 
Victor Osimhen,€65.00m 
Andrea Petagna,€12.00m 
Giuseppe Ambrosino,€500k 
Ionut Radu,€3.50m 
Samir Handanovic,€2.00m 
Alex Cordaz,€400k 
William Rovida,€200k 
Milan Skriniar,€65.00m 
Alessandro Bastoni,€60.00m 
Stefan de Vrij,€28.00m 
Danilo D'Ambrosio,€3.00m 
Andrea Ranocchia,€800k 
Fabio Cortinovis,€50k 
Federico Dimarco,€18.00m 
Franco Carboni,€1.00m 
Aleksandar Kolarov,€500k 
Matteo Darmian,€5.00m 
Mattia Zanotti,€350k 
Marcelo Brozovic,€40.00m 
Lucien Agoumé,€7.00m 
Mattia Sangalli,€250k 
Nicolò Barella,€70.00m 
Hakan Calhanoglu,€35.00m 
Roberto Gagliardini,€8.00m 
Stefano Sensi,€7.00m 
Matías Vecino,€3.50m 
Arturo Vidal,€2.00m 
Cesare Casadei,€1.00m 
Denzel Dumfries,€25.00m 
Robin Gosens,€28.00m 
Ivan Perisic,€10.00m 
Joaquín Correa,€23.00m 
Lautaro Martínez,€75.00m 
Andrea Pinamonti,€20.00m 
Martín Satriano,€7.00m 
Edin Dzeko,€4.00m 
Alexis Sánchez,€3.50m 
Felipe Caicedo,€1.50m 
Mike Maignan,€35.00m 
Alessandro Plizzari,€800k 
Ciprian Tatarusanu,€600k 
Antonio Mirante,€300k 
Sebastiano Desplanches,€200k 
Andreas Jungdal,€150k 
Fikayo Tomori,€50.00m 
Pierre Kalulu,€28.00m 
Alessio Romagnoli,€17.00m 
Simon Kjaer,€6.00m 
Matteo Gabbia,€6.00m 
Luca Stanga,€150k 
Theo Hernández,€55.00m 
Fodé Ballo-Touré,€3.50m 
Davide Calabria,€25.00m 
Alessandro Florenzi,€5.50m 
Andrea Conti,€2.50m 
Sandro Tonali,€50.00m 
Ismaël Bennacer,€33.00m 
Tiemoué Bakayoko,€10.00m 
Franck Kessié,€45.00m 
Tommaso Pobega,€16.00m 
Rade Krunic,€9.00m 
Enrico Di Gesù,€150k 
Brahim Díaz,€18.00m 
Daniel Maldini,€2.00m 
Rafael Leão,€70.00m 
Ante Rebic,€17.00m 
Alexis Saelemaekers,€17.00m 
Junior Messias,€6.00m 
Samu Castillejo,€4.00m 
Pietro Pellegri,€4.50m 
Olivier Giroud,€3.50m 
Zlatan Ibrahimović,€3.00m 
Marko Lazetic,€3.00m 
Emil Roback,€100k 
Wojciech Szczesny,€15.00m 
Mattia Perin,€4.00m 
Franco Israel,€1.00m 
Carlo Pinsoglio,€400k 
Zsombor Senkó,€200k 
Marco Raina,€50k 
Matthijs de Ligt,€70.00m 
Danilo,€13.00m 
Leonardo Bonucci,€6.00m 
Daniele Rugani,€3.50m 
Koni De Winter,€2.20m 
Giorgio Chiellini,€1.50m 
Diego Stramaccioni,€350k 
Luca Pellegrini,€9.00m 
Alex Sandro,€6.00m 
Mattia De Sciglio,€6.00m 
Manuel Locatelli,€35.00m 
Denis Zakaria,€27.00m 
Rodrigo Bentancur,€28.00m 
Weston McKennie,€25.00m 
Arthur Melo,€18.00m 
Adrien Rabiot,€17.00m 
Nicolò Fagioli,€6.50m 
Fabio Miretti,€5.00m 
Aaron Ramsey,€3.00m 
Filippo Ranocchia,€1.80m 
Hans Nicolussi Caviglia,€900k 
Emanuele Zuelli,€700k 
Martin Palumbo,€700k 
Juan Cuadrado,€8.00m 
Federico Chiesa,€65.00m 
Marley Aké,€2.50m 
Samuel Iling Junior,€700k 
Dejan Kulusevski,€40.00m 
Federico Bernardeschi,€10.00m 
Matías Soulé,€2.50m 
Paulo Dybala,€35.00m 
Dusan Vlahovic,€85.00m 
Cristiano Ronaldo,€30.00m 
Álvaro Morata,€25.00m 
Moise Kean,€24.00m 
Kaio Jorge,€7.00m 
Cosimo Marco Da Graca,€1.00m 
Juan Musso,€18.00m 
Marco Sportiello,€1.50m 
Jacopo Sassi,€200k 
Matevz Dajcar,€150k 
Francesco Rossi,€100k 
Merih Demiral,€25.00m 
Berat Djimsiti,€17.00m 
Giorgio Scalvini,€10.00m 
Rafael Tolói,€8.00m 
José Luis Palomino,€7.50m 
Matteo Lovato,€7.00m 
Bosko Sutalo,€3.00m 
Giorgio Cittadini,€300k 
Joakim Maehle,€14.00m 
Giuseppe Pezzella,€5.00m 
Hans Hateboer,€13.00m 
Davide Zappacosta,€9.00m 
Enrico Del Prato,€2.00m 
Teun Koopmeiners,€25.00m 
Marten de Roon,€17.00m 
Simone Panada,€300k 
Remo Freuler,€20.00m 
Matteo Pessina,€16.00m 
Jacopo Da Riva,€1.30m 
Alassane Sidibe,€1.00m 
Samuel Giovane,€500k 
Federico Zuccon,€200k 
Andrea Oliveri,€400k 
Guillaume Renault,€350k 
Robin Gosens,€28.00m 
Ruslan Malinovskyi,€28.00m 
Mario Pasalic,€28.00m 
Aleksey Miranchuk,€10.00m 
Josip Ilicic,€1.00m 
Jérémie Boga,€19.00m 
Valentin Mihaila,€5.50m 
Bryan Cabezas,€300k 
Tommaso De Nipoti,€150k 
Duván Zapata,€28.00m 
Luis Muriel,€20.00m 
Roberto Piccoli,€4.00m 
Sam Lammers,€3.00m 
Moustapha Cissé,€1.00m 
Rui Patrício,€6.00m 
Daniel Fuzato,€800k 
Pietro Boer,€150k 
Roger Ibañez,€23.00m 
Gianluca Mancini,€21.00m 
Marash Kumbulla,€16.00m 
Chris Smalling,€8.00m 
Maissa Ndiaye,€400k 
Leonardo Spinazzola,€20.00m 
Matías Viña,€7.50m 
Riccardo Calafiori,€3.50m 
Davide Santon,€500k 
Rick Karsdorp,€13.00m 
Bryan Reynolds,€3.50m 
Bryan Cristante,€20.00m 
Jordan Veretout,€17.00m 
Amadou Diawara,€6.00m 
Ebrima Darboe,€2.00m 
Filippo Tripi,€300k 
Sérgio Oliveira,€12.00m 
Henrikh Mkhitaryan,€8.00m 
Gonzalo Villar,€5.00m 
Edoardo Bove,€1.10m 
Ainsley Maitland-Niles,€10.00m 
Nicola Zalewski,€12.00m 
Lorenzo Pellegrini,€45.00m 
Nicolò Zaniolo,€33.00m 
Cristian Volpato,€900k 
Stephan El Shaarawy,€6.00m 
Carles Pérez,€6.00m 
Tammy Abraham,€50.00m 
Borja Mayoral,€9.00m 
Eldor Shomurodov,€8.00m 
Felix Afena-Gyan,€6.00m 
Joel Voelkerling Persson,€600k 
Bartlomiej Dragowski,€6.00m 
Pietro Terracciano,€1.50m 
Michele Cerofolini,€400k 
Antonio Rosati,€100k 
Nikola Milenkovic,€20.00m 
Igor,€14.00m 
Lucas Martínez Quarta,€12.00m 
Germán Pezzella,€5.00m 
Luca Ranieri,€2.50m 
Matija Nastasic,€1.50m 
Filippo Frison,€150k 
Cristiano Biraghi,€10.00m 
Aleksa Terzic,€1.50m 
Álvaro Odriozola,€12.00m 
Lorenzo Venuti,€3.00m 
Lucas Torreira,€20.00m 
Sofyan Amrabat,€10.00m 
Erick Pulgar,€6.50m 
Gaetano Castrovilli,€12.00m 
Alfred Duncan,€8.50m 
Youssef Maleh,€5.00m 
Giacomo Bonaventura,€3.00m 
Marco Benassi,€2.40m 
Alessandro Bianco,€350k 
Riccardo Saponara,€2.50m 
Vittorio Agostinelli,€100k 
Nicolás González,€25.00m 
Riccardo Sottil,€9.00m 
Jonathan Ikoné,€18.00m 
José Callejón,€1.00m 
Destiny Egharevba,€100k 
Aleksandr Kokorin,€800k 
Filippo Distefano,€300k 
Dusan Vlahovic,€85.00m 
Arthur Cabral,€14.00m 
Krzysztof Piatek,€12.00m 
Louis Munteanu,€350k 
Eljon Toci,€250k 
Thomas Strakosha,€7.00m 
Pepe Reina,€700k 
Marius Adamonis,€150k 
Alessio Furlanetto,€50k 
Luiz Felipe,€16.00m 
Patric,€5.50m 
Francesco Acerbi,€4.00m 
Denis Vavro,€3.00m 
Dimitrije Kamenovic,€1.50m 
Stefan Radu,€600k 
Manuel Lazzari,€15.00m 
Adam Marusic,€7.50m 
Elseid Hysaj,€5.00m 
Romano Floriani,€75k 
Danilo Cataldi,€5.00m 
Lucas Leiva,€1.00m 
Patryk Dziczek,€500k 
Marco Bertini,€100k 
Sergej Milinković-Savić,€70.00m 
Luis Alberto,€28.00m 
Toma Basic,€8.00m 
Gonzalo Escalante,€2.50m 
Jean-Daniel Akpa Akpro,€2.00m 
André Anderson,€1.70m 
Mattia Zaccagni,€18.00m 
Jovane,€5.50m 
Raúl Moro,€2.80m 
Jony,€800k 
Felipe Anderson,€13.00m 
Pedro,€3.00m 
Luka Romero,€1.00m 
Ciro Immobile,€27.00m 
Vedat Muriqi,€7.00m 
Felipe Caicedo,€1.50m 
Andrea Consigli,€1.50m 
Giacomo Satalino,€200k 
Gioele Zacchi,€125k 
Samuele Vitale,€100k 
Gianluca Pegolo,€100k 
Gian Marco Ferrari,€7.00m 
Kaan Ayhan,€5.00m 
Ruan Tressoldi,€5.00m 
Vlad Chiriches,€1.80m 
Filippo Romagna,€1.50m 
Edoardo Goldaniga,€1.00m 
Rogério,€6.00m 
Georgios Kyriakopoulos,€5.00m 
Federico Peluso,€300k 
Edoardo Pieragnolo,€100k 
Mert Müldür,€7.00m 
Jeremy Toljan,€5.00m 
Maxime López,€15.00m 
Francesco Magnanelli,€400k 
Davide Frattesi,€20.00m 
Matheus Henrique,€11.00m 
Abdou Harroui,€3.00m 
Pedro Obiang,€1.00m 
Christian Aucelli,€150k 
Salim Abubakar,€100k 
Yeferson Paz,€200k 
Hamed Junior Traorè,€22.00m 
Filip Djuricic,€4.00m 
Jérémie Boga,€19.00m 
Emil Konradsen Ceide,€2.00m 
Lukas Haraslin,€1.70m 
Riccardo Ciervo,€1.50m 
Asan Mata,€75k 
Domenico Berardi,€35.00m 
Brian Oddei,€900k 
Giacomo Raspadori,€28.00m 
Gianluca Scamacca,€30.00m 
Luca Moro,€3.50m 
Grégoire Defrel,€3.00m 
Francesco Caputo,€2.50m 
Luigi Samele,€250k 
Marco Silvestri,€5.00m 
Simone Scuffet,€600k 
Daniele Padelli,€400k 
Manuel Gasparini,€200k 
Edoardo Piana,€50k 
Antonio Santurro,€50k 
Matteo Carnelos,€25k 
Nehuén Pérez,€6.00m 
Rodrigo Becão,€6.00m 
Samir Caetano,€5.00m 
Pablo Marí,€5.00m 
Bram Nuytinck,€3.50m 
Filip Benkovic,€1.80m 
Sebastien De Maio,€350k 
Nicolò Cocetta,€75k 
Destiny Udogie,€17.00m 
Marvin Zeegelaar,€800k 
Raed Jaziri,€25k 
Nahuel Molina,€20.00m 
Brandon Soppy,€5.00m 
Jens Stryger Larsen,€2.00m 
Lorenzo Codutti,€50k 
Walace,€5.00m 
Mato Jajalo,€400k 
Riccardo Castagnaviz,€75k 
Mattia Damiani,€50k 
Jean-Victor Makengo,€7.50m 
Roberto Pereyra,€6.50m 
Tolgay Arslan,€2.30m 
Martin Palumbo,€700k 
Riccardo Pinzi,€100k 
Marco Ballarini,€100k 
Jacopo Fedrizzi,€50k 
Lazar Samardžić,€3.50m 
Simone Ianesi,€125k 
Ignacio Pussetto,€3.00m 
Fernando Forestieri,€875k 
Gerard Deulofeu,€15.00m 
Beto,€10.00m 
Isaac Success,€3.00m 
Stefano Okaka,€2.90m 
Cristo González,€1.50m 
