,Players,Club,Position,Age,Nationality,Values
474,Armand Laurienté,US Sassuolo,Attack,24,France,11000000.0
179,Ibrahim Sangaré,PSV Eindhoven,midfield,25,Cote d'Ivoire,11000000.0
361,Facundo Medina,RC Lens,Defender,24,Argentina,11000000.0
253,Danilo,Juventus FC,Defender,31,Brazil,11000000.0
518,Kenny Tete,Fulham FC,Defender,27,Netherlands,11000000.0
256,Jesper Lindström,Eintracht Frankfurt,midfield,23,Denmark,11000000.0
700,Thijs Dallinga,FC Toulouse,Attack,22,Netherlands,10900000.0
667,Anass Zaroury,Burnley FC,Attack,22,Morocco,10800000.0
515,Carlos Augusto,AC Monza,Defender,24,Brazil,10500000.0
686,Kiliann Sildillia,SC Freiburg,Defender,21,France,10500000.0
595,Lazar Samardžić,Udinese Calcio,midfield,21,Serbia,10500000.0
455,Andreas Pereira,Fulham FC,midfield,27,Brazil,10500000.0
633,Brice Samba,RC Lens,Goalkeeper,29,France,10500000.0
127,Martín Zubimendi,Real Sociedad,midfield,24,Spain,10000000.0
49,Darwin Núñez,Liverpool FC,Attack,24,Uruguay,10000000.0
519,Fabio Miretti,Juventus FC,midfield,19,Italy,10000000.0
476,Sheraldo Becker,1.FC Union Berlin,Attack,28,Suriname,10000000.0
32,Luis Díaz,Liverpool FC,Attack,26,Colombia,10000000.0
79,Dejan Kulusevski,Tottenham Hotspur,Attack,23,Sweden,10000000.0
561,Arnau Martínez,Girona FC,Defender,20,Spain,10000000.0
472,Ritsu Doan,SC Freiburg,Attack,25,Japan,10000000.0
14,Rodri,Manchester City,midfield,27,Spain,10000000.0
248,Alex Iwobi,Everton FC,midfield,27,Nigeria,10000000.0
225,Jean-Clair Todibo,OGC Nice,Defender,23,France,10000000.0
19,Lautaro Martínez,Inter Milan,Attack,25,Argentina,10000000.0
38,Éder Militão,Real Madrid,Defender,25,Brazil,10000000.0
524,Jacob Murphy,Newcastle United,Attack,28,England,10000000.0
599,Jamie Bynoe-Gittens,Borussia Dortmund,Attack,18,England,10000000.0
358,Valentin Rongier,Olympique Marseille,midfield,28,France,10000000.0
152,Benoît Badiashile,Chelsea FC,Defender,22,France,10000000.0
635,Niclas Füllkrug,SV Werder Bremen,Attack,30,Germany,10000000.0
634,Fran Navarro,FC Porto,Attack,25,Spain,10000000.0
121,Benjamin Pavard,Bayern Munich,Defender,27,France,10000000.0
136,Frank Anguissa,SSC Napoli,midfield,27,Cameroon,10000000.0
102,Mike Maignan,AC Milan,Goalkeeper,28,France,10000000.0
101,Lucas Paquetá,West Ham United,midfield,25,Brazil,10000000.0
100,Matheus Nunes,Wolverhampton Wanderers,midfield,24,Portugal,10000000.0
13,Declan Rice,West Ham United,midfield,24,England,10000000.0
786,Farès Chaïbi,FC Toulouse,Attack,20,Algeria,9950000.0
752,Leny Yoro,LOSC Lille,Defender,17,France,9850000.0
646,Joseph Paintsil,KRC Genk,Attack,25,Ghana,9500000.0
666,Arijanet Muric,Burnley FC,Goalkeeper,24,Kosovo,9400000.0
781,Habib Diarra,RC Strasbourg Alsace,midfield,19,France,9400000.0
297,Eddie Nketiah,Arsenal FC,Attack,24,England,9000000.0
547,Arda Güler,Real Madrid,midfield,18,Turkey,9000000.0
546,Carney Chukwuemeka,Chelsea FC,midfield,19,England,9000000.0
669,Isi Palazón,Rayo Vallecano,Attack,28,Spain,9000000.0
627,Julian Ryerson,Borussia Dortmund,Defender,25,Norway,9000000.0
485,Samuel Lino,Atlético de Madrid,Attack,23,Brazil,9000000.0
493,James Garner,Everton FC,midfield,22,England,9000000.0
798,Edoardo Bove,AS Roma,midfield,21,Italy,8900000.0
717,Willian Pacho,Eintracht Frankfurt,Defender,21,Ecuador,8800000.0
834,Derry John Murkin,FC Volendam,Defender,23,England,8725000.0
860,Emirhan Topcu,Caykur Rizespor,Defender,22,Turkey,8700000.0
867,Mike Eerdhuijzen,Sparta Rotterdam,Defender,23,Netherlands,8675000.0
820,Shawn Adewoye,RKC Waalwijk,Defender,23,Belgium,8550000.0
