,Players,Club,Position,Age,Nationality,Values
560,Thomas Partey,Arsenal FC,midfield,30,Ghana,35000000.0
2516,Elye Wahi,Montpellier HSC,Attack,20,France,35000000.0
398,Marc Guéhi,Crystal Palace,Defender,23,England,35000000.0
1112,Piotr Zielinski,SSC Napoli,midfield,29,Poland,35000000.0
248,Nayef Aguerd,West Ham United,Defender,27,Morocco,35000000.0
3289,Ibrahim Sangaré,PSV Eindhoven,midfield,25,Cote d'Ivoire,35000000.0
1135,Federico Dimarco,Inter Milan,Defender,25,Italy,35000000.0
94,Virgil van Dijk,Liverpool FC,Defender,32,Netherlands,35000000.0
2817,Otávio,FC Porto,midfield,28,Portugal,35000000.0
299,Ivan Toney,Brentford FC,Attack,27,England,35000000.0
70,Ben Chilwell,Chelsea FC,Defender,26,England,35000000.0
3261,Edson Álvarez,Ajax Amsterdam,midfield,25,Mexico,35000000.0
1786,Niklas Süle,Borussia Dortmund,Defender,27,Germany,35000000.0
257,Tomas Soucek,West Ham United,midfield,28,Czech Republic,35000000.0
65,Levi Colwill,Chelsea FC,Defender,20,England,35000000.0
2783,Orkun Kökcü,SL Benfica,midfield,22,Turkey,35000000.0
664,Robin Le Normand,Real Sociedad,Defender,26,Spain,35000000.0
644,Marcos Llorente,Atlético de Madrid,midfield,28,Spain,35000000.0
640,Nahuel Molina,Atlético de Madrid,Defender,25,Argentina,35000000.0
632,José María Giménez,Atlético de Madrid,Defender,28,Uruguay,35000000.0
1757,Piero Hincapié,Bayer 04 Leverkusen,Defender,21,Ecuador,35000000.0
1121,Giacomo Raspadori,SSC Napoli,Attack,23,Italy,35000000.0
630,Jan Oblak,Atlético de Madrid,Goalkeeper,30,Slovenia,35000000.0
623,Ansu Fati,FC Barcelona,Attack,20,Spain,35000000.0
1211,Nicolò Fagioli,Juventus FC,midfield,22,Italy,35000000.0
90,Alisson,Liverpool FC,Goalkeeper,30,Brazil,35000000.0
1296,Lorenzo Pellegrini,AS Roma,midfield,27,Italy,35000000.0
2293,Fabián Ruiz,Paris Saint-Germain,midfield,27,Spain,32000000.0
2404,Seko Fofana,RC Lens,midfield,28,Cote d'Ivoire,32000000.0
209,Miguel Almirón,Newcastle United,Attack,29,Paraguay,32000000.0
17,Kalvin Phillips,Manchester City,midfield,27,England,32000000.0
76,Conor Gallagher,Chelsea FC,midfield,23,England,32000000.0
1154,Marcus Thuram,Inter Milan,Attack,25,France,32000000.0
581,Antonio Rüdiger,Real Madrid,Defender,30,Germany,32000000.0
207,Allan Saint-Maximin,Newcastle United,Attack,26,France,32000000.0
2849,Pedro Gonçalves,Sporting CP,Attack,25,Portugal,32000000.0
1358,Mattia Zaccagni,SS Lazio,Attack,28,Italy,30000000.0
1267,Ademola Lookman,Atalanta BC,Attack,25,Nigeria,30000000.0
1206,Manuel Locatelli,Juventus FC,midfield,25,Italy,30000000.0
58,Folarin Balogun,Arsenal FC,Attack,22,United States,30000000.0
2332,Martin Terrier,Stade Rennais FC,Attack,26,France,30000000.0
1811,Youssoufa Moukoko,Borussia Dortmund,Attack,18,Germany,30000000.0
87,Nicolas Jackson,Chelsea FC,Attack,22,Senegal,30000000.0
1810,Sébastien Haller,Borussia Dortmund,Attack,29,Cote d'Ivoire,30000000.0
1165,Pierre Kalulu,AC Milan,Defender,23,France,30000000.0
1739,Ryan Gravenberch,Bayern Munich,midfield,21,Netherlands,30000000.0
2341,Axel Disasi,AS Monaco,Defender,25,France,30000000.0
1279,Roger Ibañez,AS Roma,Defender,24,Brazil,30000000.0
83,Noni Madueke,Chelsea FC,Attack,21,England,30000000.0
865,Gabri Veiga,Celta de Vigo,midfield,21,Spain,30000000.0
653,Ángel Correa,Atlético de Madrid,Attack,28,Argentina,30000000.0
2830,Gonçalo Inácio,Sporting CP,Defender,21,Portugal,30000000.0
269,David Raya,Brentford FC,Goalkeeper,27,Spain,30000000.0
2449,Jean-Clair Todibo,OGC Nice,Defender,23,France,30000000.0
1758,Edmond Tapsoba,Bayer 04 Leverkusen,Defender,24,Burkina Faso,30000000.0
2438,Rayan Cherki,Olympique Lyon,midfield,19,France,30000000.0
1249,Teun Koopmeiners,Atalanta BC,midfield,25,Netherlands,30000000.0
226,Boubacar Kamara,Aston Villa,midfield,23,France,30000000.0
1299,Paulo Dybala,AS Roma,Attack,29,Argentina,30000000.0
624,Ferran Torres,FC Barcelona,Attack,23,Spain,30000000.0
1316,Sofyan Amrabat,ACF Fiorentina,midfield,26,Morocco,30000000.0
399,Joachim Andersen,Crystal Palace,Defender,27,Denmark,30000000.0
764,Nico Williams,Athletic Bilbao,Attack,21,Spain,30000000.0
758,Oihan Sancet,Athletic Bilbao,midfield,23,Spain,30000000.0
1885,Micky van de Ven,VfL Wolfsburg,Defender,22,Netherlands,30000000.0
2855,Marcus Edwards,Sporting CP,Attack,24,England,30000000.0
629,Robert Lewandowski,FC Barcelona,Attack,34,Poland,30000000.0
1325,Nicolás González,ACF Fiorentina,Attack,25,Argentina,30000000.0
2349,Mohamed Camara,AS Monaco,midfield,23,Mali,30000000.0
306,Max Kilman,Wolverhampton Wanderers,Defender,26,England,30000000.0
815,José Gayà,Valencia CF,Defender,28,Spain,30000000.0
465,Aleksandar Mitrović,Fulham FC,Attack,28,Serbia,28000000.0
1146,Denzel Dumfries,Inter Milan,midfield,27,Netherlands,28000000.0
2334,Jérémy Doku,Stade Rennais FC,Attack,21,Belgium,28000000.0
1740,Konrad Laimer,Bayern Munich,midfield,26,Austria,28000000.0
2276,Presnel Kimpembe,Paris Saint-Germain,Defender,27,France,28000000.0
281,Rico Henry,Brentford FC,Defender,26,England,28000000.0
352,Alex Iwobi,Everton FC,midfield,27,Nigeria,28000000.0
327,Pedro Neto,Wolverhampton Wanderers,Attack,23,Portugal,28000000.0
376,Danilo,Nottingham Forest,midfield,22,Brazil,28000000.0
1867,Jesper Lindström,Eintracht Frankfurt,midfield,23,Denmark,28000000.0
238,Emiliano Buendía,Aston Villa,Attack,26,Argentina,28000000.0
2356,Aleksandr Golovin,AS Monaco,midfield,27,Russia,28000000.0
725,Guido Rodríguez,Real Betis Balompié,midfield,29,Argentina,28000000.0
214,Emiliano Martínez,Aston Villa,Goalkeeper,30,Argentina,28000000.0
88,Armando Broja,Chelsea FC,Attack,21,Albania,28000000.0
235,Leon Bailey,Aston Villa,Attack,25,Jamaica,28000000.0
1734,Noussair Mazraoui,Bayern Munich,Defender,25,Morocco,28000000.0
1280,Evan Ndicka,AS Roma,Defender,23,Cote d'Ivoire,28000000.0
1808,Donyell Malen,Borussia Dortmund,Attack,24,Netherlands,28000000.0
3766,Nicolò Zaniolo,Galatasaray,midfield,24,Italy,27000000.0
231,John McGinn,Aston Villa,midfield,28,Scotland,27000000.0
1113,Eljif Elmas,SSC Napoli,midfield,23,North Macedonia,26000000.0
1762,Alejandro Grimaldo,Bayer 04 Leverkusen,Defender,27,Spain,25000000.0
356,Dominic Calvert-Lewin,Everton FC,Attack,26,England,25000000.0
342,Vitaliy Mykolenko,Everton FC,Defender,24,Ukraine,25000000.0
389,Taiwo Awoniyi,Nottingham Forest,Attack,25,Nigeria,25000000.0
1930,Brenden Aaronson,1.FC Union Berlin,midfield,22,United States,25000000.0
131,Scott McTominay,Manchester United,midfield,26,Scotland,25000000.0
1434,Perr Schuurs,Torino FC,Defender,23,Netherlands,25000000.0
1747,Sadio Mané,Bayern Munich,Attack,31,Senegal,25000000.0
766,Iñaki Williams,Athletic Bilbao,Attack,29,Ghana,25000000.0
44,Jorginho,Arsenal FC,midfield,31,Italy,25000000.0
1142,Davide Frattesi,Inter Milan,midfield,23,Italy,25000000.0
584,Ferland Mendy,Real Madrid,Defender,28,France,25000000.0
103,Curtis Jones,Liverpool FC,midfield,22,England,25000000.0
898,Enes Ünal,Getafe CF,Attack,26,Turkey,25000000.0
41,Takehiro Tomiyasu,Arsenal FC,Defender,24,Japan,25000000.0
619,Franck Kessié,FC Barcelona,midfield,26,Cote d'Ivoire,25000000.0
1838,Timo Werner,RB Leipzig,Attack,27,Germany,25000000.0
637,Reinildo Mandava,Atlético de Madrid,Defender,29,Mozambique,25000000.0
649,Yannick Carrasco,Atlético de Madrid,Attack,29,Belgium,25000000.0
656,Antoine Griezmann,Atlético de Madrid,Attack,32,France,25000000.0
662,Álex Remiro,Real Sociedad,Goalkeeper,28,Spain,25000000.0
677,Brais Méndez,Real Sociedad,midfield,26,Spain,25000000.0
2380,Mattéo Guendouzi,Olympique Marseille,midfield,24,France,25000000.0
684,Takefusa Kubo,Real Sociedad,Attack,22,Japan,25000000.0
711,Samuel Chukwueze,Villarreal CF,Attack,24,Nigeria,25000000.0
38,Kieran Tierney,Arsenal FC,Defender,26,Scotland,25000000.0
697,Juan Foyth,Villarreal CF,Defender,25,Argentina,25000000.0
2351,Youssouf Fofana,AS Monaco,midfield,24,France,25000000.0
2422,Castello Lukeba,Olympique Lyon,Defender,20,France,25000000.0
1423,Beto,Udinese Calcio,Attack,25,Portugal,25000000.0
576,Eddie Nketiah,Arsenal FC,Attack,24,England,25000000.0
1778,Patrik Schick,Bayer 04 Leverkusen,Attack,27,Czech Republic,25000000.0
440,Dango Ouattara,AFC Bournemouth,Attack,21,Burkina Faso,25000000.0
129,Aaron Wan-Bissaka,Manchester United,Defender,25,England,25000000.0
50,Fábio Vieira,Arsenal FC,midfield,23,Portugal,25000000.0
1801,Giovanni Reyna,Borussia Dortmund,midfield,20,United States,25000000.0
1817,Mohamed Simakan,RB Leipzig,Defender,23,France,25000000.0
741,Unai Simón,Athletic Bilbao,Goalkeeper,26,Spain,25000000.0
1175,Ruben Loftus-Cheek,AC Milan,midfield,27,England,25000000.0
2432,Maxence Caqueret,Olympique Lyon,midfield,23,France,25000000.0
551,Jakub Kiwior,Arsenal FC,Defender,23,Poland,25000000.0
1182,Christian Pulisic,AC Milan,Attack,24,United States,25000000.0
1119,Hirving Lozano,SSC Napoli,Attack,27,Mexico,25000000.0
708,Arnaut Danjuma,Villarreal CF,Attack,26,Netherlands,25000000.0
232,Youri Tielemans,Aston Villa,midfield,26,Belgium,25000000.0
158,Destiny Udogie,Tottenham Hotspur,Defender,20,Italy,25000000.0
