Player,Club,Age,Position,Nation,Value,League
Omar Alderete,Getafe CF,26,Defender,Paraguay,4000000.0,La Liga
Nemanja Gudelj,Sevilla FC,31,midfield,Serbia,4000000.0,La Liga
Antonio Raíllo,RCD Mallorca,31,Defender,Spain,4000000.0,La Liga
Federico Bonazzoli,US Salernitana 1919,26,Attack,Italy,4000000.0,Serie A
Rúben Vinagre,Everton FC,24,Defender,Portugal,4000000.0,Premier League
Mattia Perin,Juventus FC,30,Goalkeeper,Italy,4000000.0,Serie A
Mërgim Vojvoda,Torino FC,28,Defender,Kosovo,4000000.0,Serie A
José Ángel Carmona,Elche CF,21,Defender,Spain,4000000.0,La Liga
Nemanja Matic,AS Roma,34,midfield,Serbia,4000000.0,Serie A
Karim Rekik,Sevilla FC,28,Defender,Netherlands,4000000.0,La Liga
Florian Lejeune,Rayo Vallecano,32,Defender,France,4000000.0,La Liga
Nathaniel Phillips,Liverpool FC,26,Defender,England,4000000.0,Premier League
Keylor Navas,Nottingham Forest,36,Goalkeeper,Costa Rica,4000000.0,Premier League
Marko Dmitrović,Sevilla FC,31,Goalkeeper,Serbia,4000000.0,La Liga
Roberto Gagliardini,Inter Milan,29,midfield,Italy,4000000.0,Serie A
Ellis Simms,Everton FC,22,Attack,England,4000000.0,Premier League
David Silva,Real Sociedad,37,midfield,Spain,4000000.0,La Liga
Pierre-Emerick Aubameyang,Chelsea FC,34,Attack,Gabon,4000000.0,Premier League
David Okereke,US Cremonese,25,Attack,Nigeria,4000000.0,Serie A
Théo Bongonda,Cádiz CF,27,Attack,DR Congo,4000000.0,La Liga
Emirhan Ilkhan,UC Sampdoria,19,midfield,Turkey,4000000.0,Serie A
Matteo Ruggeri,Atalanta BC,20,Defender,Italy,4000000.0,Serie A
Yan Couto,Girona FC,21,Defender,Brazil,4000000.0,La Liga
Ilaix Moriba,Valencia CF,20,midfield,Guinea,4000000.0,La Liga
Nemanja Radonjic,Torino FC,27,Attack,Serbia,4000000.0,Serie A
Matías Soulé,Juventus FC,20,Attack,Argentina,4000000.0,Serie A
Francesco Acerbi,Inter Milan,35,Defender,Italy,4000000.0,Serie A
Mert Müldür,US Sassuolo,24,Defender,Turkey,4000000.0,Serie A
Tino Kadewere,RCD Mallorca,27,Attack,Zimbabwe,4000000.0,La Liga
Juan Cuadrado,Juventus FC,35,midfield,Colombia,4000000.0,Serie A
Manu Morlanes,RCD Mallorca,24,midfield,Spain,4000000.0,La Liga
Luis Milla,Getafe CF,28,midfield,Spain,4000000.0,La Liga
Álex Fernández,Cádiz CF,30,midfield,Spain,4000000.0,La Liga
Gonzalo Melero,UD Almería,29,midfield,Spain,4000000.0,La Liga
Olivier Giroud,AC Milan,36,Attack,France,4000000.0,Serie A
Iván Balliu,Rayo Vallecano,31,Defender,Albania,4000000.0,La Liga
Andrea Colpani,AC Monza,24,midfield,Italy,4000000.0,Serie A
Alfred Duncan,ACF Fiorentina,30,midfield,Ghana,4000000.0,Serie A
Haris Seferovic,Celta de Vigo,31,Attack,Switzerland,4000000.0,La Liga
Manu Trigueros,Villarreal CF,31,midfield,Spain,4000000.0,La Liga
Joe Rothwell,AFC Bournemouth,28,midfield,England,4000000.0,Premier League
Thomas Henry,Hellas Verona,28,Attack,France,4000000.0,Serie A
Iñaki Peña,FC Barcelona,24,Goalkeeper,Spain,4000000.0,La Liga
Ramón Terrats,Villarreal CF,22,midfield,Spain,4000000.0,La Liga
Marin Pongracic,US Lecce,25,Defender,Croatia,4000000.0,Serie A
Fabien Centonze,FC Nantes,27,Defender,France,4000000.0,Ligue 1
Neto Borges,Clermont Foot 63,26,Defender,Brazil,4000000.0,Ligue 1
Florian Sotoca,RC Lens,32,Attack,France,4000000.0,Ligue 1
Dion Lopy,Stade Reims,21,midfield,Senegal,4000000.0,Ligue 1
Benjamin Lecomte,Montpellier HSC,32,Goalkeeper,France,4000000.0,Ligue 1
Alan Virginius,LOSC Lille,20,Attack,France,4000000.0,Ligue 1
Ibrahima Koné,FC Lorient,24,Attack,Mali,4000000.0,Ligue 1
Thierno Baldé,ESTAC Troyes,21,Defender,France,4000000.0,Ligue 1
Ignatius Ganago,FC Nantes,24,Attack,Cameroon,4000000.0,Ligue 1
Falaye Sacko,Montpellier HSC,28,Defender,Mali,4000000.0,Ligue 1
Rubén Blanco,Olympique Marseille,27,Goalkeeper,Spain,4000000.0,Ligue 1
Alexis Sánchez,Olympique Marseille,34,Attack,Chile,4000000.0,Ligue 1
Deiver Machado,RC Lens,29,Defender,Colombia,4000000.0,Ligue 1
Andrei Girotto,FC Nantes,31,Defender,Brazil,4000000.0,Ligue 1
Pierre Lees-Melou,Stade Brestois 29,30,midfield,France,4000000.0,Ligue 1
Rony Lopes,ESTAC Troyes,27,Attack,Portugal,4000000.0,Ligue 1
Valentin Gendrey,US Lecce,23,Defender,France,4000000.0,Serie A
Samuel Umtiti,US Lecce,29,Defender,France,4000000.0,Serie A
Diego Coppola,Hellas Verona,19,Defender,Italy,4000000.0,Serie A
Rémi Oudin,US Lecce,26,Attack,France,4000000.0,Serie A
Ivan Rakitic,Sevilla FC,35,midfield,Croatia,4000000.0,La Liga
Hugo Duro,Valencia CF,23,Attack,Spain,4000000.0,La Liga
Kieffer Moore,AFC Bournemouth,30,Attack,Wales,4000000.0,Premier League
Simone Verdi,Hellas Verona,30,midfield,Italy,4000000.0,Serie A
Lameck Banda,US Lecce,22,Attack,Zambia,4000000.0,Serie A
Jannik Vestergaard,Leicester City,30,Defender,Denmark,4000000.0,Premier League
Chris Führich,VfB Stuttgart,25,Attack,Germany,4000000.0,Bundesliga
Oliver Baumann,TSG 1899 Hoffenheim,33,Goalkeeper,Germany,4000000.0,Bundesliga
Rodrigo Zalazar,FC Schalke 04,23,midfield,Uruguay,4000000.0,Bundesliga
Hrvoje Smolcic,Eintracht Frankfurt,22,Defender,Croatia,4000000.0,Bundesliga
Takuma Asano,VfL Bochum,28,Attack,Japan,4000000.0,Bundesliga
Jae-sung Lee,1.FSV Mainz 05,30,midfield,"Korea, South",4000000.0,Bundesliga
Dogan Alemdar,Stade Rennais FC,20,Goalkeeper,Turkey,4000000.0,Ligue 1
Atakan Karazor,VfB Stuttgart,26,midfield,Germany,4000000.0,Bundesliga
Patrick Osterhage,VfL Bochum,23,midfield,Germany,4000000.0,Bundesliga
Paulo Otávio,VfL Wolfsburg,28,Defender,Brazil,4000000.0,Bundesliga
Marvin Friedrich,Borussia Mönchengladbach,27,Defender,Germany,4000000.0,Bundesliga
Noah Weißhaupt,SC Freiburg,21,Attack,Germany,4000000.0,Bundesliga
Yannik Keitel,SC Freiburg,23,midfield,Germany,4000000.0,Bundesliga
Oliver Christensen,Hertha BSC,24,Goalkeeper,Denmark,4000000.0,Bundesliga
Lorenzo Montipò,Hellas Verona,27,Goalkeeper,Italy,4000000.0,Serie A
Charles Pickel,US Cremonese,26,midfield,Switzerland,3800000.0,Serie A
Kelvin Amian,Spezia Calcio,25,Defender,France,3800000.0,Serie A
Georgios Kyriakopoulos,Bologna FC 1909,27,Defender,Greece,3800000.0,Serie A
Tonny Vilhena,US Salernitana 1919,28,midfield,Netherlands,3800000.0,Serie A
Johan Vásquez,US Cremonese,24,Defender,Mexico,3600000.0,Serie A
Harry Toffolo,Nottingham Forest,27,Defender,England,3500000.0,Premier League
Yasser Larouci,ESTAC Troyes,22,Defender,France,3500000.0,Ligue 1
Gerard Gumbau,Elche CF,28,midfield,Spain,3500000.0,La Liga
Ronaël Pierre-Gabriel,RCD Espanyol Barcelona,25,Defender,France,3500000.0,La Liga
Junior Sambia,US Salernitana 1919,26,Defender,France,3500000.0,Serie A
Emanuele Valeri,US Cremonese,24,Defender,Italy,3500000.0,Serie A
Florian Thauvin,Udinese Calcio,30,Attack,France,3500000.0,Serie A
Soualiho Meïté,US Cremonese,29,midfield,France,3500000.0,Serie A
Portu,Getafe CF,31,Attack,Spain,3500000.0,La Liga
Koray Günter,UC Sampdoria,28,Defender,Germany,3500000.0,Serie A
Yann Karamoh,Torino FC,24,Attack,Cote d'Ivoire,3500000.0,Serie A
Lukasz Skorupski,Bologna FC 1909,32,Goalkeeper,Poland,3500000.0,Serie A
Simon Kjaer,AC Milan,34,Defender,Denmark,3500000.0,Serie A
Ricardo Rodríguez,Torino FC,30,Defender,Switzerland,3500000.0,Serie A
Pietro Pellegri,Torino FC,22,Attack,Italy,3500000.0,Serie A
Karol Linetty,Torino FC,28,midfield,Poland,3500000.0,Serie A
Vanja Milinković-Savić,Torino FC,26,Goalkeeper,Serbia,3500000.0,Serie A
Kevin Akpoguma,TSG 1899 Hoffenheim,28,Defender,Nigeria,3500000.0,Bundesliga
Fodé Ballo-Touré,AC Milan,26,Defender,Senegal,3500000.0,Serie A
Jack Stephens,Southampton FC,29,Defender,England,3500000.0,Premier League
Ola Aina,Torino FC,26,Defender,Nigeria,3500000.0,Serie A
Dominik Kohr,1.FSV Mainz 05,29,midfield,Germany,3500000.0,Bundesliga
José Copete,RCD Mallorca,23,Defender,Spain,3500000.0,La Liga
Ivo Grbic,Atlético de Madrid,27,Goalkeeper,Croatia,3500000.0,La Liga
Mads Pedersen,FC Augsburg,26,Defender,Denmark,3500000.0,Bundesliga
Luca Kilian,1.FC Köln,23,Defender,Germany,3500000.0,Bundesliga
Ardian Ismajli,FC Empoli,26,Defender,Albania,3500000.0,Serie A
Juan Jesus,SSC Napoli,32,Defender,Brazil,3500000.0,Serie A
Paul Akouokou,Real Betis Balompié,25,midfield,Cote d'Ivoire,3500000.0,La Liga
Ola Solbakken,AS Roma,24,Attack,Norway,3500000.0,Serie A
Erik Botheim,US Salernitana 1919,23,Attack,Norway,3500000.0,Serie A
Eray Cömert,Valencia CF,25,Defender,Switzerland,3500000.0,La Liga
Unai López,Rayo Vallecano,27,midfield,Spain,3500000.0,La Liga
Srdjan Babic,UD Almería,27,Defender,Serbia,3500000.0,La Liga
Alfonso Espino,Cádiz CF,31,Defender,Uruguay,3500000.0,La Liga
Thomas Strakosha,Brentford FC,28,Goalkeeper,Albania,3500000.0,Premier League
Filippo Bandinelli,FC Empoli,28,midfield,Italy,3500000.0,Serie A
Roberto Piccoli,FC Empoli,22,Attack,Italy,3500000.0,Serie A
Munir El Haddadi,Getafe CF,27,Attack,Morocco,3500000.0,La Liga
Dimitrios Nikolaou,Spezia Calcio,24,Defender,Greece,3500000.0,Serie A
Szymon Zurkowski,Spezia Calcio,25,midfield,Poland,3500000.0,Serie A
Juan Iglesias,Getafe CF,24,Defender,Spain,3500000.0,La Liga
Festy Ebosele,Udinese Calcio,20,Defender,Ireland,3500000.0,Serie A
Jacopo Fazzini,FC Empoli,20,midfield,Italy,3500000.0,Serie A
Lyanco,Southampton FC,26,Defender,Brazil,3500000.0,Premier League
Lee Buchanan,SV Werder Bremen,22,Defender,England,3500000.0,Bundesliga
Márton Dárdai,Hertha BSC,21,Defender,Germany,3500000.0,Bundesliga
Marco Bizot,Stade Brestois 29,32,Goalkeeper,Netherlands,3500000.0,Ligue 1
Jonas Hector,1.FC Köln,33,Defender,Germany,3500000.0,Bundesliga
Ilyes Housni,Paris Saint-Germain,18,Attack,France,3500000.0,Ligue 1
Christopher Jullien,Montpellier HSC,30,Defender,France,3500000.0,Ligue 1
Wuilker Fariñez,RC Lens,25,Goalkeeper,Venezuela,3500000.0,Ligue 1
Jean-Charles Castelletto,FC Nantes,28,Defender,Cameroon,3500000.0,Ligue 1
Jimmy Cabot,RC Lens,29,midfield,France,3500000.0,Ligue 1
Ionut Radu,AJ Auxerre,26,Goalkeeper,Romania,3500000.0,Ligue 1
Nicolas Cozza,VfL Wolfsburg,24,Defender,France,3500000.0,Bundesliga
Arbër Zeneli,Stade Reims,28,Attack,Kosovo,3500000.0,Ligue 1
Yvon Mvogo,FC Lorient,29,Goalkeeper,Switzerland,3500000.0,Ligue 1
Steffen Tigges,1.FC Köln,24,Attack,Germany,3500000.0,Bundesliga
Karim Onisiwo,1.FSV Mainz 05,31,Attack,Austria,3500000.0,Bundesliga
Maximilian Bauer,FC Augsburg,23,Defender,Germany,3500000.0,Bundesliga
Silvan Widmer,1.FSV Mainz 05,30,Defender,Switzerland,3500000.0,Bundesliga
Elvis Rexhbecaj,FC Augsburg,25,midfield,Germany,3500000.0,Bundesliga
Tom Rothe,Borussia Dortmund,18,Defender,Germany,3500000.0,Bundesliga
Marcel Halstenberg,RB Leipzig,31,Defender,Germany,3500000.0,Bundesliga
Woo-yeong Jeong,SC Freiburg,23,Attack,"Korea, South",3500000.0,Bundesliga
Noah Atubolu,SC Freiburg,21,Goalkeeper,Germany,3500000.0,Bundesliga
Tom Bischof,TSG 1899 Hoffenheim,18,midfield,Germany,3500000.0,Bundesliga
Kevin Kampl,RB Leipzig,32,midfield,Slovenia,3500000.0,Bundesliga
Kelvin Yeboah,FC Augsburg,23,Attack,Italy,3500000.0,Bundesliga
Marc Oliver Kempf,Hertha BSC,28,Defender,Germany,3500000.0,Bundesliga
Robert Gumny,FC Augsburg,25,Defender,Poland,3500000.0,Bundesliga
Ondrej Duda,Hellas Verona,28,midfield,Slovakia,3400000.0,Serie A
Emil Bohinen,US Salernitana 1919,24,midfield,Norway,3400000.0,Serie A
Salvatore Esposito,Spezia Calcio,22,midfield,Italy,3300000.0,Serie A
Jackson Porozo,ESTAC Troyes,22,Defender,Ecuador,3000000.0,Ligue 1
Théo Le Bris,FC Lorient,20,midfield,France,3000000.0,Ligue 1
Laurent Abergel,FC Lorient,30,midfield,France,3000000.0,Ligue 1
Sanjin Prcic,RC Strasbourg Alsace,29,midfield,Bosnia-Herzegovina,3000000.0,Ligue 1
Romain Del Castillo,Stade Brestois 29,27,midfield,France,3000000.0,Ligue 1
Thibault De Smet,Stade Reims,25,Defender,Belgium,3000000.0,Ligue 1
Sergio Rico,Paris Saint-Germain,29,Goalkeeper,Spain,3000000.0,Ligue 1
Ibrahim Salah,Stade Rennais FC,21,Attack,Morocco,3000000.0,Ligue 1
Iké Ugbo,ESTAC Troyes,24,Attack,Canada,3000000.0,Ligue 1
Batista Mendy,Angers SCO,23,midfield,France,3000000.0,Ligue 1
Massadio Haidara,RC Lens,30,Defender,Mali,3000000.0,Ligue 1
Lucas Perrin,RC Strasbourg Alsace,24,Defender,France,3000000.0,Ligue 1
Ibrahima Niane,Angers SCO,24,Attack,Senegal,3000000.0,Ligue 1
Mateusz Wieteska,Clermont Foot 63,26,Defender,Poland,3000000.0,Ligue 1
Haris Belkebla,Stade Brestois 29,29,midfield,Algeria,3000000.0,Ligue 1
Mahdi Camara,Stade Brestois 29,24,midfield,France,3000000.0,Ligue 1
Veljko Birmancevic,FC Toulouse,25,Attack,Serbia,3000000.0,Ligue 1
Alejandro Pozo,UD Almería,24,Defender,Spain,3000000.0,La Liga
Kevin Stöger,VfL Bochum,29,midfield,Austria,3000000.0,Bundesliga
Daniele Verde,Spezia Calcio,27,Attack,Italy,3000000.0,Serie A
Papu Gómez,Sevilla FC,35,Attack,Argentina,3000000.0,La Liga
Édgar Badía,Elche CF,31,Goalkeeper,Spain,3000000.0,La Liga
Óscar Plano,Real Valladolid CF,32,Attack,Spain,3000000.0,La Liga
Franco Cervi,Celta de Vigo,29,Attack,Argentina,3000000.0,La Liga
Williot Swedberg,Celta de Vigo,19,midfield,Sweden,3000000.0,La Liga
Álex Sola,Real Sociedad,24,Defender,Spain,3000000.0,La Liga
Przemyslaw Wisniewski,Spezia Calcio,24,Defender,Poland,3000000.0,Serie A
Adama Soumaoro,Bologna FC 1909,31,Defender,France,3000000.0,Serie A
Jesús Vázquez,Valencia CF,20,Defender,Spain,3000000.0,La Liga
Mario Gila,SS Lazio,22,Defender,Spain,3000000.0,Serie A
Iñigo Ruiz de Galarreta,RCD Mallorca,29,midfield,Spain,3000000.0,La Liga
Luka Romero,SS Lazio,18,Attack,Argentina,3000000.0,Serie A
Robert Navarro,Real Sociedad,21,midfield,Spain,3000000.0,La Liga
Iddrisu Baba,RCD Mallorca,27,midfield,Ghana,3000000.0,La Liga
Sebastiano Luperto,FC Empoli,26,Defender,Italy,3000000.0,Serie A
Keidi Bare,RCD Espanyol Barcelona,25,midfield,Albania,3000000.0,La Liga
Martin Hongla,Real Valladolid CF,25,midfield,Cameroon,3000000.0,La Liga
Edinson Cavani,Valencia CF,36,Attack,Uruguay,3000000.0,La Liga
Diego Demme,SSC Napoli,31,midfield,Germany,3000000.0,Serie A
Paulo Gazzaniga,Girona FC,31,Goalkeeper,Argentina,3000000.0,La Liga
Jesús Navas,Sevilla FC,37,Defender,Spain,3000000.0,La Liga
Álvaro Aguado,Real Valladolid CF,27,midfield,Spain,3000000.0,La Liga
Liam Cooper,Leeds United,31,Defender,Scotland,3000000.0,Premier League
Alex Sandro,Juventus FC,32,Defender,Brazil,3000000.0,Serie A
Mattia De Sciglio,Juventus FC,30,Defender,Italy,3000000.0,Serie A
Álex Collado,Elche CF,24,Attack,Spain,3000000.0,La Liga
Michaël Cuisance,UC Sampdoria,23,midfield,France,3000000.0,Serie A
Giangiacomo Magnani,Hellas Verona,27,Defender,Italy,3000000.0,Serie A
Emil Krafth,Newcastle United,28,Defender,Sweden,3000000.0,Premier League
Kaio Jorge,Juventus FC,21,Attack,Brazil,3000000.0,Serie A
Hugo Mallo,Celta de Vigo,32,Defender,Spain,3000000.0,La Liga
Fernando,Sevilla FC,35,midfield,Brazil,3000000.0,La Liga
Ilia Gruev,SV Werder Bremen,23,midfield,Bulgaria,3000000.0,Bundesliga
Stefan Lainer,Borussia Mönchengladbach,30,Defender,Austria,3000000.0,Bundesliga
Wilfried Kanga,Hertha BSC,25,Attack,Cote d'Ivoire,3000000.0,Bundesliga
Marius Bülter,FC Schalke 04,30,Attack,Germany,3000000.0,Bundesliga
Kenneth Schmidt,SC Freiburg,21,Defender,Germany,3000000.0,Bundesliga
Keven Schlotterbeck,VfL Bochum,26,Defender,Germany,3000000.0,Bundesliga
Philipp Max,Eintracht Frankfurt,29,Defender,Germany,3000000.0,Bundesliga
Jacob Bruun Larsen,TSG 1899 Hoffenheim,24,Attack,Denmark,3000000.0,Bundesliga
Hannes Wolf,Borussia Mönchengladbach,24,Attack,Austria,3000000.0,Bundesliga
Benno Schmitz,1.FC Köln,28,Defender,Germany,3000000.0,Bundesliga
Munas Dabbur,TSG 1899 Hoffenheim,31,Attack,Israel,3000000.0,Bundesliga
Omar Mascarell,Elche CF,30,midfield,Spain,3000000.0,La Liga
Paul Wanner,Bayern Munich,17,midfield,Germany,3000000.0,Bundesliga
Jonjoe Kenny,Hertha BSC,26,Defender,England,3000000.0,Bundesliga
Jiri Pavlenka,SV Werder Bremen,31,Goalkeeper,Czech Republic,3000000.0,Bundesliga
Cristian Volpato,AS Roma,19,midfield,Italy,3000000.0,Serie A
Nathanaël Mbuku,FC Augsburg,21,Attack,France,3000000.0,Bundesliga
Jamie Leweling,1.FC Union Berlin,22,Attack,Germany,3000000.0,Bundesliga
Ivan Ordets,VfL Bochum,30,Defender,Ukraine,3000000.0,Bundesliga
Jérôme Roussillon,1.FC Union Berlin,30,Defender,Guadeloupe,3000000.0,Bundesliga
Daley Blind,Bayern Munich,33,Defender,Netherlands,3000000.0,Bundesliga
Timo Baumgartl,1.FC Union Berlin,27,Defender,Germany,3000000.0,Bundesliga
Noah Mbamba,Bayer 04 Leverkusen,18,midfield,Belgium,3000000.0,Bundesliga
Joaquín Fernández,Real Valladolid CF,27,Defender,Spain,3000000.0,La Liga
Willian,Fulham FC,34,Attack,Brazil,3000000.0,Premier League
Jon Morcillo,Athletic Bilbao,24,Attack,Spain,3000000.0,La Liga
Óscar Gil,RCD Espanyol Barcelona,25,Defender,Spain,3000000.0,La Liga
Aitor Fernández,CA Osasuna,32,Goalkeeper,Spain,3000000.0,La Liga
Joaquín Sosa,Bologna FC 1909,21,Defender,Uruguay,3000000.0,Serie A
Pawel Dawidowicz,Hellas Verona,28,Defender,Poland,3000000.0,Serie A
Luca de la Torre,Celta de Vigo,25,midfield,United States,3000000.0,La Liga
Shandon Baptiste,Brentford FC,25,midfield,Grenada,3000000.0,Premier League
Iván Martín,Girona FC,24,midfield,Spain,3000000.0,La Liga
Layvin Kurzawa,Fulham FC,30,Defender,France,3000000.0,Premier League
Marek Rodak,Fulham FC,26,Goalkeeper,Slovakia,3000000.0,Premier League
Rodrigo Ely,UD Almería,29,Defender,Brazil,3000000.0,La Liga
Kaiky,UD Almería,19,Defender,Brazil,3000000.0,La Liga
Luca Waldschmidt,VfL Wolfsburg,27,Attack,Germany,3000000.0,Bundesliga
Jairo Riedewald,Crystal Palace,26,midfield,Netherlands,3000000.0,Premier League
Alessio Cragno,AC Monza,28,Goalkeeper,Italy,3000000.0,Serie A
Pathé Ciss,Rayo Vallecano,29,midfield,Senegal,3000000.0,La Liga
Óscar Trejo,Rayo Vallecano,35,midfield,Argentina,3000000.0,La Liga
Javi Sánchez,Real Valladolid CF,26,Defender,Spain,3000000.0,La Liga
Arkadiusz Reca,Spezia Calcio,28,Defender,Poland,3000000.0,Serie A
Hugo Lloris,Tottenham Hotspur,36,Goalkeeper,France,3000000.0,Premier League
Johan Mojica,Villarreal CF,30,Defender,Colombia,3000000.0,La Liga
Aïssa Mandi,Villarreal CF,31,Defender,Algeria,3000000.0,La Liga
Dennis Hadzikadunic,RCD Mallorca,24,Defender,Bosnia-Herzegovina,3000000.0,La Liga
Pere Milla,Elche CF,30,Attack,Spain,3000000.0,La Liga
Cédric Soares,Fulham FC,31,Defender,Portugal,3000000.0,Premier League
Juanmi Latasa,Getafe CF,22,Attack,Spain,3000000.0,La Liga
Pavel Kaderabek,TSG 1899 Hoffenheim,31,Defender,Czech Republic,3000000.0,Bundesliga
Jeffrey Gouweleeuw,FC Augsburg,31,Defender,Netherlands,3000000.0,Bundesliga
Bartol Franjic,VfL Wolfsburg,23,midfield,Croatia,3000000.0,Bundesliga
Pablo Torre,FC Barcelona,20,midfield,Spain,3000000.0,La Liga
Emanuel Aiwu,US Cremonese,22,Defender,Austria,3000000.0,Serie A
Carlos Fernández,Real Sociedad,27,Attack,Spain,3000000.0,La Liga
Iñigo Lekue,Athletic Bilbao,30,Defender,Spain,3000000.0,La Liga
Selim Amallah,Real Valladolid CF,26,midfield,Morocco,3000000.0,La Liga
Francis Coquelin,Villarreal CF,32,midfield,France,3000000.0,La Liga
Koffi Djidji,Torino FC,30,Defender,Cote d'Ivoire,3000000.0,Serie A
Daniel Maldini,Spezia Calcio,21,midfield,Italy,3000000.0,Serie A
Étienne Capoue,Villarreal CF,34,midfield,France,3000000.0,La Liga
Oier Zarraga,Athletic Bilbao,24,midfield,Spain,3000000.0,La Liga
Sebastian Walukiewicz,FC Empoli,23,Defender,Poland,3000000.0,Serie A
Davide Faraoni,Hellas Verona,31,Defender,Italy,3000000.0,Serie A
Darwin Machís,Real Valladolid CF,30,Attack,Venezuela,3000000.0,La Liga
José Luis Morales,Villarreal CF,35,Attack,Spain,3000000.0,La Liga
Fabio Depaoli,Hellas Verona,26,Defender,Italy,3000000.0,Serie A
Kevin Agudelo,Spezia Calcio,24,midfield,Colombia,3000000.0,Serie A
Alberto Moreno,Villarreal CF,30,Defender,Spain,3000000.0,La Liga
Diego Rico,Real Sociedad,30,Defender,Spain,3000000.0,La Liga
Kevin Bonifazi,Bologna FC 1909,27,Defender,Italy,2800000.0,Serie A
Philipp Hofmann,VfL Bochum,30,Attack,Germany,2800000.0,Bundesliga
Philipp Förster,VfL Bochum,28,midfield,Germany,2800000.0,Bundesliga
Gonzalo Villar,Getafe CF,25,midfield,Spain,2800000.0,La Liga
Lautaro Blanco,Elche CF,24,Defender,Argentina,2800000.0,La Liga
Leonardo Bittencourt,SV Werder Bremen,29,midfield,Germany,2800000.0,Bundesliga
Demba Seck,Torino FC,22,Attack,Senegal,2700000.0,Serie A
Abdou Harroui,US Sassuolo,25,midfield,Morocco,2700000.0,Serie A
Bruno Amione,UC Sampdoria,21,Defender,Argentina,2700000.0,Serie A
Julien Laporte,FC Lorient,29,Defender,France,2500000.0,Ligue 1
Moussa Sissoko,FC Nantes,33,midfield,France,2500000.0,Ligue 1
Adrien Hunou,Angers SCO,29,Attack,France,2500000.0,Ligue 1
Bamo Meïté,FC Lorient,21,Defender,Cote d'Ivoire,2500000.0,Ligue 1
Wahbi Khazri,Montpellier HSC,32,Attack,Tunisia,2500000.0,Ligue 1
Himad Abdelli,Angers SCO,23,midfield,Algeria,2500000.0,Ligue 1
Kamory Doumbia,Stade Reims,20,midfield,Mali,2500000.0,Ligue 1
Bradley Locko,Stade Brestois 29,21,Defender,France,2500000.0,Ligue 1
Julien Ponceau,FC Lorient,22,midfield,France,2500000.0,Ligue 1
Enzo Tchato,Montpellier HSC,20,Defender,Cameroon,2500000.0,Ligue 1
Issiaga Sylla,Montpellier HSC,29,Defender,Guinea,2500000.0,Ligue 1
Gideon Mensah,AJ Auxerre,24,Defender,Ghana,2500000.0,Ligue 1
Mamadou Sakho,Montpellier HSC,33,Defender,France,2500000.0,Ligue 1
Maxime Busi,Stade Reims,23,Defender,Belgium,2500000.0,Ligue 1
Maximiliano Caufriez,Clermont Foot 63,26,Defender,Belgium,2500000.0,Ligue 1
Akim Zedadka,AJ Auxerre,28,Defender,Algeria,2500000.0,Ligue 1
Alberth Elis,Stade Brestois 29,27,Attack,Honduras,2500000.0,Ligue 1
Jean-Eudes Aholou,RC Strasbourg Alsace,29,midfield,Cote d'Ivoire,2500000.0,Ligue 1
Ayoub Amraoui,OGC Nice,19,Defender,Morocco,2500000.0,Ligue 1
Renaud Ripart,ESTAC Troyes,30,Attack,France,2500000.0,Ligue 1
Rafael Ratão,FC Toulouse,27,Attack,Brazil,2500000.0,Ligue 1
Grejohn Kyei,Clermont Foot 63,27,Attack,France,2500000.0,Ligue 1
Paul Bernardoni,Angers SCO,26,Goalkeeper,France,2500000.0,Ligue 1
Mikkel Desler,FC Toulouse,28,Defender,Denmark,2500000.0,Ligue 1
M'Baye Niang,AJ Auxerre,28,Attack,Senegal,2500000.0,Ligue 1
Oumar Gonzalez,AC Ajaccio,25,Defender,Cameroon,2500000.0,Ligue 1
Erik Palmer-Brown,ESTAC Troyes,26,Defender,United States,2500000.0,Ligue 1
Souleyman Doumbia,Angers SCO,26,Defender,Cote d'Ivoire,2500000.0,Ligue 1
Ismaily,LOSC Lille,33,Defender,Brazil,2500000.0,Ligue 1
Yohann Magnin,Clermont Foot 63,26,midfield,France,2500000.0,Ligue 1
Aaron Ramsey,OGC Nice,32,midfield,Wales,2500000.0,Ligue 1
Stéphane Diarra,FC Lorient,24,Attack,Cote d'Ivoire,2500000.0,Ligue 1
Gabriel Suazo,FC Toulouse,25,Defender,Chile,2500000.0,Ligue 1
Maxime Dupé,FC Toulouse,30,Goalkeeper,France,2500000.0,Ligue 1
Rhys Healey,FC Toulouse,28,Attack,England,2500000.0,Ligue 1
Vincent Marchetti,AC Ajaccio,25,midfield,France,2500000.0,Ligue 1
Eduard Sobol,RC Strasbourg Alsace,28,Defender,Ukraine,2500000.0,Ligue 1
José Luis Palomino,Atalanta BC,33,Defender,Argentina,2500000.0,Serie A
Abdelhamid Sabiri,UC Sampdoria,26,midfield,Morocco,2500000.0,Serie A
Joseba Zaldua,Cádiz CF,31,Defender,Spain,2500000.0,La Liga
Willy Boly,Nottingham Forest,32,Defender,Cote d'Ivoire,2500000.0,Premier League
Toni Villa,Girona FC,28,Attack,Spain,2500000.0,La Liga
Alexis Blin,US Lecce,26,midfield,France,2500000.0,Serie A
Juan Cabal,Hellas Verona,22,Defender,Colombia,2500000.0,Serie A
Ander Herrera,Athletic Bilbao,33,midfield,Spain,2500000.0,La Liga
Ignacio Pussetto,UC Sampdoria,27,Attack,Argentina,2500000.0,Serie A
