Player,Club,Age,Position,Nation,Value,League
Rúben Neves,Wolverhampton Wanderers,26,midfield,Portugal,40000000.0,Premier League
Manuel Akanji,Manchester City,27,Defender,Switzerland,38000000.0,Premier League
Michael Olise,Crystal Palace,21,Attack,France,38000000.0,Premier League
Jarrod Bowen,West Ham United,26,Attack,England,38000000.0,Premier League
Ibrahima Konaté,Liverpool FC,24,Defender,France,38000000.0,Premier League
Mateo Kovacic,Chelsea FC,29,midfield,Croatia,38000000.0,Premier League
Joe Willock,Newcastle United,23,midfield,England,38000000.0,Premier League
Brennan Johnson,Nottingham Forest,22,midfield,Wales,38000000.0,Premier League
James Ward-Prowse,Southampton FC,28,midfield,England,38000000.0,Premier League
Marc Cucurella,Chelsea FC,24,Defender,Spain,35000000.0,Premier League
Leandro Trossard,Arsenal FC,28,Attack,Belgium,35000000.0,Premier League
Marcos Llorente,Atlético de Madrid,28,midfield,Spain,35000000.0,La Liga
Raphaël Varane,Manchester United,30,Defender,France,35000000.0,Premier League
Lorenzo Pellegrini,AS Roma,27,midfield,Italy,35000000.0,Serie A
Harvey Barnes,Leicester City,25,Attack,England,35000000.0,Premier League
Amine Gouiri,Stade Rennais FC,23,Attack,France,35000000.0,Ligue 1
Alisson,Liverpool FC,30,Goalkeeper,Brazil,35000000.0,Premier League
José María Giménez,Atlético de Madrid,28,Defender,Uruguay,35000000.0,La Liga
Loïs Openda,RC Lens,23,Attack,Belgium,35000000.0,Ligue 1
Elye Wahi,Montpellier HSC,20,Attack,France,35000000.0,Ligue 1
Lionel Messi,Paris Saint-Germain,36,Attack,Argentina,35000000.0,Ligue 1
Ben Chilwell,Chelsea FC,26,Defender,England,35000000.0,Premier League
Emile Smith Rowe,Arsenal FC,22,midfield,England,35000000.0,Premier League
Robin Le Normand,Real Sociedad,26,Defender,Spain,35000000.0,La Liga
Piotr Zielinski,SSC Napoli,29,midfield,Poland,35000000.0,Serie A
Bryan Mbeumo,Brentford FC,23,Attack,Cameroon,35000000.0,Premier League
Federico Dimarco,Inter Milan,25,Defender,Italy,35000000.0,Serie A
Ansu Fati,FC Barcelona,20,Attack,Spain,35000000.0,La Liga
Marc-André ter Stegen,FC Barcelona,31,Goalkeeper,Germany,35000000.0,La Liga
Cheick Doucouré,Crystal Palace,23,midfield,Mali,35000000.0,Premier League
Jan Oblak,Atlético de Madrid,30,Goalkeeper,Slovenia,35000000.0,La Liga
Ivan Toney,Brentford FC,27,Attack,England,35000000.0,Premier League
André Onana,Inter Milan,27,Goalkeeper,Cameroon,35000000.0,Serie A
Nicolò Fagioli,Juventus FC,22,midfield,Italy,35000000.0,Serie A
Anthony Gordon,Newcastle United,22,Attack,England,35000000.0,Premier League
Piero Hincapié,Bayer 04 Leverkusen,21,Defender,Ecuador,35000000.0,Bundesliga
Nayef Aguerd,West Ham United,27,Defender,Morocco,35000000.0,Premier League
Gregor Kobel,Borussia Dortmund,25,Goalkeeper,Switzerland,35000000.0,Bundesliga
Giacomo Raspadori,SSC Napoli,23,Attack,Italy,35000000.0,Serie A
Virgil van Dijk,Liverpool FC,31,Defender,Netherlands,35000000.0,Premier League
Harvey Elliott,Liverpool FC,20,midfield,England,35000000.0,Premier League
Tomas Soucek,West Ham United,28,midfield,Czech Republic,35000000.0,Premier League
Niklas Süle,Borussia Dortmund,27,Defender,Germany,35000000.0,Bundesliga
Thomas Partey,Arsenal FC,30,midfield,Ghana,35000000.0,Premier League
Nahuel Molina,Atlético de Madrid,25,Defender,Argentina,35000000.0,La Liga
Marc Guéhi,Crystal Palace,22,Defender,England,35000000.0,Premier League
Marcus Thuram,Borussia Mönchengladbach,25,Attack,France,32000000.0,Bundesliga
Allan Saint-Maximin,Newcastle United,26,Attack,France,32000000.0,Premier League
Miguel Almirón,Newcastle United,29,Attack,Paraguay,32000000.0,Premier League
Seko Fofana,RC Lens,28,midfield,Cote d'Ivoire,32000000.0,Ligue 1
Fabián Ruiz,Paris Saint-Germain,27,midfield,Spain,32000000.0,Ligue 1
Conor Gallagher,Chelsea FC,23,midfield,England,32000000.0,Premier League
Antonio Rüdiger,Real Madrid,30,Defender,Germany,32000000.0,La Liga
Roméo Lavia,Southampton FC,19,midfield,Belgium,32000000.0,Premier League
Kalvin Phillips,Manchester City,27,midfield,England,32000000.0,Premier League
Max Kilman,Wolverhampton Wanderers,26,Defender,England,30000000.0,Premier League
Rayan Cherki,Olympique Lyon,19,midfield,France,30000000.0,Ligue 1
Folarin Balogun,Stade Reims,21,Attack,United States,30000000.0,Ligue 1
Martin Terrier,Stade Rennais FC,26,Attack,France,30000000.0,Ligue 1
Axel Disasi,AS Monaco,25,Defender,France,30000000.0,Ligue 1
Mohamed Camara,AS Monaco,23,midfield,Mali,30000000.0,Ligue 1
Jean-Clair Todibo,OGC Nice,23,Defender,France,30000000.0,Ligue 1
Manuel Locatelli,Juventus FC,25,midfield,Italy,30000000.0,Serie A
Edmond Tapsoba,Bayer 04 Leverkusen,24,Defender,Burkina Faso,30000000.0,Bundesliga
Sébastien Haller,Borussia Dortmund,29,Attack,Cote d'Ivoire,30000000.0,Bundesliga
Youssoufa Moukoko,Borussia Dortmund,18,Attack,Germany,30000000.0,Bundesliga
Noni Madueke,Chelsea FC,21,Attack,England,30000000.0,Premier League
Boubacar Kamara,Aston Villa,23,midfield,France,30000000.0,Premier League
Ángel Correa,Atlético de Madrid,28,Attack,Argentina,30000000.0,La Liga
Teun Koopmeiners,Atalanta BC,25,midfield,Netherlands,30000000.0,Serie A
Robert Lewandowski,FC Barcelona,34,Attack,Poland,30000000.0,La Liga
Nico Williams,Athletic Bilbao,20,Attack,Spain,30000000.0,La Liga
Pierre Kalulu,AC Milan,23,Defender,France,30000000.0,Serie A
Ryan Gravenberch,Bayern Munich,21,midfield,Netherlands,30000000.0,Bundesliga
Oihan Sancet,Athletic Bilbao,23,midfield,Spain,30000000.0,La Liga
Nicolas Jackson,Villarreal CF,22,Attack,Senegal,30000000.0,La Liga
Mattia Zaccagni,SS Lazio,28,Attack,Italy,30000000.0,Serie A
Joachim Andersen,Crystal Palace,27,Defender,Denmark,30000000.0,Premier League
Gabri Veiga,Celta de Vigo,21,midfield,Spain,30000000.0,La Liga
Ferran Torres,FC Barcelona,23,Attack,Spain,30000000.0,La Liga
Roger Ibañez,AS Roma,24,Defender,Brazil,30000000.0,Serie A
Nicolás González,ACF Fiorentina,25,Attack,Argentina,30000000.0,Serie A
Paulo Dybala,AS Roma,29,Attack,Argentina,30000000.0,Serie A
Ademola Lookman,Atalanta BC,25,Attack,Nigeria,30000000.0,Serie A
José Gayà,Valencia CF,28,Defender,Spain,30000000.0,La Liga
Sofyan Amrabat,ACF Fiorentina,26,midfield,Morocco,30000000.0,Serie A
David Raya,Brentford FC,27,Goalkeeper,Spain,30000000.0,Premier League
Micky van de Ven,VfL Wolfsburg,22,Defender,Netherlands,30000000.0,Bundesliga
Jérémy Doku,Stade Rennais FC,21,Attack,Belgium,28000000.0,Ligue 1
Presnel Kimpembe,Paris Saint-Germain,27,Defender,France,28000000.0,Ligue 1
Aleksandr Golovin,AS Monaco,27,midfield,Russia,28000000.0,Ligue 1
Leon Bailey,Aston Villa,25,Attack,Jamaica,28000000.0,Premier League
Jesper Lindström,Eintracht Frankfurt,23,midfield,Denmark,28000000.0,Bundesliga
